"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"334","Logan Stankoven","DAL","C","19","280.05","2","5","4","1","7","53.85","30","6.67","3.39","70","51","37","15","3","6","2","1","1","0","0","3","4","7","24","44","16","6","5","54.55"
"35","Adam Henrique","EDM","C","15","183.48333333333","3","3","2","1","6","85.71","9","33.33","1.11","13","11","12","7","1","1","2","1","1","0","0","0","6","7","45","18","10","46","50","47.92"
"76","Josh Manson","COL","D","11","196.8","1","5","4","1","6","46.15","24","4.17","1.31","62","34","19","3","1","8","12","6","6","0","0","2","13","5","36","30","22","0","0","-"
"129","Jake Guentzel","CAR","C","11","172.8","3","3","1","2","6","85.71","22","13.64","2.72","43","34","33","15","2","2","14","3","2","0","1","3","5","7","7","15","10","4","6","40.00"
"137","Artturi Lehkonen","COL","L","11","175.88333333333","4","2","1","1","6","66.67","26","15.38","3.16","45","34","31","16","1","5","4","2","2","0","0","0","5","3","26","17","7","1","0","100.00"
"171","Brandon Montour","FLA","D","22","382.11666666667","1","5","2","3","6","37.50","30","3.33","1.55","79","52","21","5","2","7","10","5","5","0","0","2","11","9","44","57","27","0","0","-"
"180","Dakota Joshua","VAN","C","13","164.95","2","4","3","1","6","75.00","7","28.57","1.54","16","11","11","8","0","4","8","4","4","0","0","1","1","4","71","26","5","2","3","40.00"
"185","Pavel Zacha","BOS","C","13","165.81666666667","1","5","3","2","6","75.00","14","7.14","1.43","23","18","13","6","0","4","4","2","2","0","0","1","7","2","24","17","1","47","63","42.73"
"189","Mikko Rantanen","COL","R","11","211.15","3","3","2","1","6","60.00","25","12.00","2.09","44","31","22","9","1","3","8","4","4","0","0","4","3","8","19","31","10","23","28","45.10"
"190","Sebastian Aho","CAR","C","11","175.23333333333","3","3","3","0","6","85.71","20","15.00","2.24","43","32","24","12","0","4","2","1","1","0","0","3","13","5","19","17","4","57","74","43.51"
"201","Jack Roslovic","NYR","C","16","201.01666666667","0","6","1","5","6","100.00","17","0.00","1.22","38","27","16","2","2","6","6","3","3","0","0","0","9","2","10","20","8","5","10","33.33"
"254","Casey Mittelstadt","COL","C","11","168.65","2","4","3","1","6","75.00","22","9.09","1.87","30","28","17","9","1","2","2","1","1","0","0","0","7","5","15","24","5","62","74","45.59"
"264","Cale Makar","COL","D","11","222.05","2","4","1","3","6","75.00","24","8.33","1.3","59","39","19","4","1","7","0","0","0","0","0","2","5","9","5","17","15","0","0","-"
"51","Dmitry Orlov","CAR","D","11","211.3","1","4","2","2","5","83.33","20","5.00","1.03","42","31","13","3","2","5","14","7","7","0","0","4","9","3","18","17","16","0","0","-"
"87","Mika Zibanejad","NYR","C","16","225.81666666667","1","4","4","0","5","83.33","15","6.67","2.17","38","33","15","8","1","2","2","1","1","0","0","3","12","6","11","16","11","111","110","50.23"
"95","Barclay Goodrow","NYR","C","16","161.51666666667","3","2","1","1","5","100.00","10","30.00","1.32","23","15","10","6","1","4","12","6","6","0","0","0","4","4","41","25","19","48","67","41.74"
"101","Brady Skjei","CAR","D","11","181.95","0","5","4","1","5","62.50","17","0.00","0.94","53","33","10","3","1","8","6","3","3","0","0","1","6","5","17","14","14","0","0","-"
"166","David Pastrnak","BOS","R","13","196.96666666667","3","2","0","2","5","71.43","27","11.11","3.25","66","43","35","19","4","8","10","4","4","0","0","4","11","3","24","29","9","5","3","62.50"
"172","Warren Foegele","EDM","L","20","201.26666666667","1","4","1","3","5","62.50","27","3.70","2.37","51","37","26","13","3","3","17","3","1","1","1","3","11","11","36","36","6","0","1","0.00"
"175","Devon Toews","COL","D","10","206.2","0","5","2","3","5","45.45","15","0.00","0.56","44","22","11","2","1","2","2","1","1","0","0","2","7","11","11","6","8","0","0","-"
"195","Brock Boeser","VAN","R","12","183.06666666667","3","2","1","1","5","71.43","16","18.75","1.52","36","24","17","6","0","2","8","3","3","0","0","3","5","8","6","12","6","1","1","50.00"
"214","Conor Garland","VAN","R","13","166.5","3","2","2","0","5","62.50","21","14.29","2.09","52","38","28","5","2","2","2","1","1","0","0","4","2","2","9","30","11","0","0","-"
"221","Mason Marchment","DAL","L","13","190.96666666667","3","2","1","1","5","83.33","23","13.04","2.28","41","32","25","9","3","4","10","5","5","0","0","3","4","13","51","19","6","2","2","50.00"
"261","Martin Necas","CAR","C","11","162.6","2","3","1","2","5","71.43","19","10.53","1.7","54","39","25","6","0","3","0","0","0","0","0","2","8","5","13","17","3","2","3","40.00"
"269","Eetu Luostarinen","FLA","C","22","261.1","1","4","2","2","5","55.56","21","4.76","2.5","53","36","30","12","4","5","20","5","4","0","1","4","7","13","52","64","8","18","14","56.25"
"282","Andrei Svechnikov","CAR","R","11","168.6","0","5","3","2","5","83.33","16","0.00","1.96","45","30","21","8","1","3","10","5","5","0","0","4","10","5","31","16","10","0","0","-"
"1","Ryan Suter","DAL","D","19","318.58333333333","1","3","2","1","4","44.44","8","12.50","0.55","44","28","8","2","1","1","16","8","8","0","0","1","12","2","18","27","17","0","0","-"
"11","Andrew Cogliano","COL","C","11","76.25","0","4","3","1","4","100.00","3","0.00","0.16","6","3","3","1","1","1","2","1","1","0","0","0","1","2","5","7","5","2","3","40.00"
"48","Chris Kreider","NYR","L","16","211.13333333333","4","0","0","0","4","66.67","20","20.00","2.96","42","34","22","14","1","6","2","1","1","0","0","1","6","3","37","15","3","1","6","14.29"
"52","Mattias Ekholm","EDM","D","23","398.28333333333","1","3","2","1","4","19.05","29","3.45","1.58","75","51","20","4","0","5","6","3","3","0","0","1","16","8","24","57","32","0","0","-"
"63","Evgeny Kuznetsov","CAR","C","10","94.6","2","2","0","2","4","80.00","12","16.67","0.95","26","18","9","4","3","1","4","2","2","0","0","0","3","1","6","3","1","35","29","54.69"
"89","J.T. Miller","VAN","C","13","199.03333333333","1","3","3","0","4","57.14","17","5.88","2.51","41","33","25","10","1","2","4","2","2","0","0","1","3","5","41","26","7","111","90","55.22"
"98","Hampus Lindholm","BOS","D","13","228.01666666667","1","3","1","2","4","33.33","12","8.33","0.29","33","19","6","1","0","2","6","3","3","0","0","1","16","1","9","41","13","0","0","-"
"103","Cody Ceci","EDM","D","22","360.98333333333","2","2","2","0","4","36.36","21","9.52","0.71","49","31","8","3","4","5","0","0","0","0","0","2","9","5","31","70","20","0","0","-"
"107","Jacob Trouba","NYR","D","16","267.23333333333","0","4","0","4","4","40.00","14","0.00","0.81","51","27","11","4","1","4","20","10","10","0","0","2","7","7","55","29","54","0","0","-"
"115","Jordan Martinook","CAR","L","11","161.43333333333","2","2","2","0","4","66.67","20","10.00","3.01","44","32","19","12","1","5","6","3","3","0","0","2","8","4","17","9","3","5","11","31.25"
"130","Mattias Janmark","EDM","C","23","216.85","1","3","2","1","4","66.67","16","6.25","2.19","30","27","17","14","2","3","6","3","3","0","0","3","6","2","20","31","3","0","4","0.00"
"146","Darnell Nurse","EDM","D","23","368.1","1","3","0","3","4","28.57","37","2.70","1.73","78","54","20","3","2","5","12","6","6","0","0","0","10","3","42","37","45","0","0","-"
"149","Max Domi","TOR","C","7","99.783333333333","1","3","1","2","4","80.00","17","5.88","1.62","30","22","14","9","1","6","6","3","3","0","0","2","2","4","5","8","6","27","13","67.50"
"167","Adrian Kempe","L.A","R","5","70.133333333333","3","1","1","0","4","100.00","17","17.65","1.83","32","20","12","7","2","3","4","2","2","0","0","1","1","1","12","5","0","0","0","-"
"168","Ivan Barbashev","VGK","C","7","103.7","0","4","2","2","4","80.00","8","0.00","0.68","17","11","8","2","1","1","0","0","0","0","0","1","1","6","41","8","1","0","3","0.00"
"184","Kyle Connor","WPG","L","5","78.7","2","2","1","1","4","66.67","13","15.38","0.78","25","19","13","5","0","4","4","1","1","0","0","0","2","1","4","6","2","0","0","-"
"194","Brandon Carlo","BOS","D","13","201.73333333333","3","1","0","1","4","40.00","17","17.65","0.87","35","23","11","2","2","2","6","3","3","0","0","0","7","4","23","38","16","0","0","-"
"196","Mathew Barzal","NYI","C","5","87.75","2","2","2","0","4","100.00","14","14.29","1.33","28","22","11","4","3","2","4","2","2","0","0","1","4","1","4","9","3","0","0","-"
"206","Jake DeBrusk","BOS","L","13","168.1","1","3","3","0","4","100.00","16","6.25","1.37","27","23","16","9","4","3","2","1","1","0","0","2","1","1","47","27","8","0","2","0.00"
"226","Adam Fox","NYR","D","16","272.5","0","4","3","1","4","40.00","21","0.00","1.42","48","31","16","3","0","4","8","4","4","0","0","6","5","3","13","32","30","0","0","-"
"233","Trent Frederic","BOS","C","13","159.38333333333","2","2","0","2","4","50.00","17","11.76","2.42","28","23","18","14","0","5","20","2","0","0","2","1","3","5","53","39","10","20","36","35.71"
"243","Ross Colton","COL","C","11","131.41666666667","1","3","1","2","4","80.00","14","7.14","2.46","33","24","24","12","0","4","2","1","1","0","0","3","2","2","42","5","10","51","55","48.11"
"276","Quinn Hughes","VAN","D","13","244.38333333333","0","4","3","1","4","66.67","15","0.00","0.77","52","29","11","1","1","7","6","3","3","0","0","2","5","4","3","33","12","0","0","-"
"324","Quinton Byfield","L.A","R","5","73.433333333333","0","4","3","1","4","57.14","6","0.00","0.39","20","10","8","3","1","3","4","2","2","0","0","3","3","3","11","14","0","3","3","50.00"
"333","Mason Lohrei","BOS","D","11","165.81666666667","1","3","2","1","4","100.00","12","8.33","0.61","31","19","6","2","2","1","8","3","3","0","0","0","8","4","12","32","17","0","0","-"
"2","Zach Parise","COL","L","11","151.73333333333","2","1","1","0","3","37.50","19","10.53","3.19","31","27","23","13","0","7","0","0","0","0","0","1","2","2","30","23","9","0","1","0.00"
"5","Joe Pavelski","DAL","C","19","282.36666666667","1","2","2","0","3","60.00","21","4.76","3.37","60","42","36","16","5","4","2","1","1","0","0","1","10","9","31","18","14","54","56","49.09"
"9","Anze Kopitar","L.A","C","5","70.616666666667","1","2","2","0","3","60.00","7","14.29","0.76","13","11","6","4","1","1","4","2","2","0","0","1","2","2","12","3","1","42","27","60.87"
"13","Brad Marchand","BOS","L","11","142.13333333333","1","2","1","1","3","42.86","14","7.14","1.23","34","23","13","5","1","3","6","3","3","0","0","3","11","6","21","22","6","3","3","50.00"
"22","James van Riemsdyk","BOS","L","11","105.48333333333","1","2","2","0","3","75.00","12","8.33","1.38","22","16","15","7","1","5","0","0","0","0","0","3","2","2","23","16","5","2","1","66.67"
"28","Drew Doughty","L.A","D","5","105.93333333333","2","1","1","0","3","60.00","6","33.33","0.3","16","7","6","1","1","2","4","2","2","0","0","0","3","0","7","29","9","0","0","-"
"29","Steven Stamkos","T.B","C","5","68.15","2","1","0","1","3","75.00","6","33.33","0.88","15","13","10","5","0","2","2","1","1","0","0","2","2","1","22","5","2","29","30","49.15"
"37","Gustav Nyquist","NSH","C","6","88.933333333333","1","2","2","0","3","100.00","5","20.00","0.99","13","10","7","4","1","0","0","0","0","0","0","1","1","6","6","8","2","2","3","40.00"
"42","Victor Hedman","T.B","D","5","82.983333333333","1","2","1","1","3","100.00","10","10.00","0.43","18","15","4","1","0","1","0","0","0","0","0","0","3","1","8","12","7","0","0","-"
"43","Matt Duchene","DAL","C","19","283.43333333333","1","2","2","0","3","50.00","21","4.76","2.27","55","32","31","9","1","7","6","3","3","0","0","3","16","15","19","35","21","69","59","53.91"
"49","Brayden McNabb","VGK","D","7","128.28333333333","1","2","1","1","3","60.00","13","7.69","0.41","29","18","7","1","0","2","0","0","0","0","0","0","3","1","11","17","19","0","0","-"
"58","Brenden Dillon","WPG","D","3","52.5","0","3","2","1","3","60.00","0","-","0.12","8","7","1","0","0","0","4","2","2","0","0","2","0","0","10","9","2","0","0","-"
"61","Jason Zucker","NSH","L","6","73.033333333333","1","2","1","1","3","100.00","13","7.69","1","19","17","8","5","3","1","2","1","1","0","0","1","1","1","14","11","1","0","0","-"
"64","Charlie Coyle","BOS","C","13","168.08333333333","1","2","2","0","3","75.00","16","6.25","2.46","35","28","21","14","1","4","12","6","6","0","0","4","2","5","53","25","18","78","79","49.68"
"85","Nikita Kucherov","T.B","R","5","73.7","0","3","2","1","3","75.00","4","0.00","0.55","19","11","7","2","0","1","0","0","0","0","0","2","6","0","12","17","3","0","0","-"
"88","Mark Scheifele","WPG","C","5","82.633333333333","2","1","0","1","3","60.00","7","28.57","0.73","15","10","9","6","0","0","0","0","0","0","0","3","1","2","13","13","5","46","32","58.97"
"90","Stefan Noesen","CAR","R","11","81.683333333333","3","0","0","0","3","60.00","8","37.50","1.32","20","16","12","8","1","1","21","5","3","1","1","5","2","0","16","10","2","0","2","0.00"
"94","Jonathan Marchessault","VGK","R","7","115.21666666667","2","1","1","0","3","60.00","23","8.70","1.83","36","29","11","6","1","5","2","1","1","0","0","1","4","2","23","7","3","1","1","50.00"
"97","Morgan Rielly","TOR","D","7","131.95","0","3","1","2","3","50.00","11","0.00","0.5","25","17","7","2","0","0","0","0","0","0","0","0","4","2","14","33","13","0","0","-"
"106","Teuvo Teravainen","CAR","L","11","152.36666666667","1","2","1","1","3","75.00","15","6.67","1.13","42","27","12","3","0","5","0","0","0","0","0","1","6","3","3","13","6","1","3","25.00"
"108","Filip Forsberg","NSH","L","6","92.75","1","2","1","1","3","75.00","13","7.69","1.26","37","25","13","3","1","5","2","1","1","0","0","4","1","3","17","7","2","0","0","-"
"111","Esa Lindell","DAL","D","19","410.28333333333","1","2","1","1","3","30.00","16","6.25","1.16","53","30","15","2","3","6","4","2","2","0","0","0","7","8","26","60","42","0","0","-"
"114","Jimmy Vesey","NYR","L","12","115.7","1","2","1","1","3","100.00","9","11.11","0.94","21","16","7","4","1","3","2","1","1","0","0","3","3","6","8","10","8","1","1","50.00"
"119","Jaccob Slavin","CAR","D","11","212.48333333333","1","2","0","2","3","37.50","18","5.56","0.9","39","29","12","3","4","4","2","1","1","0","0","1","2","4","5","17","16","0","0","-"
"122","Connor Brown","EDM","R","17","163.65","1","2","2","0","3","75.00","7","14.29","0.95","22","14","10","4","2","0","6","3","3","0","0","3","3","7","8","19","7","2","3","40.00"
"126","Carson Soucy","VAN","D","12","169.88333333333","1","2","0","2","3","37.50","3","33.33","0.16","14","7","4","0","0","0","6","3","3","0","0","1","9","4","26","22","8","0","0","-"
"133","Miles Wood","COL","L","11","133.28333333333","3","0","0","0","3","75.00","23","13.04","1.91","37","30","16","8","0","4","13","5","4","1","0","2","6","1","27","17","6","0","1","0.00"
"139","Tyler Bertuzzi","TOR","L","7","104.66666666667","1","2","0","2","3","50.00","14","7.14","1.49","26","22","12","7","0","1","4","2","2","0","0","4","5","2","21","18","3","0","1","0.00"
"147","Bo Horvat","NYI","C","5","82.083333333333","1","2","0","2","3","75.00","13","7.69","0.52","19","17","6","0","0","1","0","0","0","0","0","0","0","2","6","5","2","33","30","52.38"
"152","Ryan Pulock","NYI","D","5","100.3","0","3","0","3","3","60.00","2","0.00","0.07","10","5","3","0","2","3","0","0","0","0","0","0","4","1","11","5","9","0","0","-"
"157","Aaron Ekblad","FLA","D","22","388.95","0","3","0","3","3","20.00","23","0.00","0.88","63","31","15","0","0","9","10","5","5","0","0","3","22","1","56","59","27","0","0","-"
"161","William Nylander","TOR","R","4","69.166666666667","3","0","0","0","3","75.00","17","17.65","1.13","26","21","9","6","3","4","4","2","2","0","0","0","2","1","5","6","5","4","1","80.00"
"176","Viktor Arvidsson","L.A","R","5","71.116666666667","0","3","2","1","3","100.00","10","0.00","0.81","21","16","6","3","0","2","0","0","0","0","0","1","3","5","12","7","5","2","2","50.00"
"187","Jack Eichel","VGK","C","7","115.06666666667","1","2","2","0","3","75.00","17","5.88","0.92","33","25","8","1","2","2","0","0","0","0","0","2","3","2","10","11","7","44","43","50.57"
"197","Roope Hintz","DAL","C","15","194.8","1","2","2","0","3","37.50","12","8.33","2.09","35","24","23","10","4","4","6","3","3","0","0","3","1","6","20","21","7","57","45","55.88"
"205","Mitch Marner","TOR","R","7","99.766666666667","1","2","2","0","3","100.00","8","12.50","0.75","22","12","11","2","0","5","2","1","1","0","0","1","1","4","5","10","1","2","2","50.00"
"218","Steven Lorentz","FLA","C","16","106.16666666667","2","1","1","0","3","100.00","6","33.33","0.92","17","14","9","4","3","0","0","0","0","0","0","4","3","4","39","32","4","24","35","40.68"
"224","Auston Matthews","TOR","C","5","72.983333333333","1","2","2","0","3","75.00","16","6.25","1.45","33","26","17","5","0","1","2","1","1","0","0","2","0","3","24","3","3","45","34","56.96"
"228","Charlie McAvoy","BOS","D","13","253.81666666667","1","2","0","2","3","37.50","22","4.55","1.26","55","36","14","5","2","6","8","4","4","0","0","5","17","4","45","69","24","0","0","-"
"230","Sam Steel","DAL","C","19","217.53333333333","0","3","0","3","3","75.00","14","0.00","1.45","32","22","15","8","1","2","2","1","1","0","0","2","3","6","23","22","5","40","48","45.45"
"238","Samuel Girard","COL","D","9","175.81666666667","0","3","0","3","3","37.50","8","0.00","0.34","30","14","9","0","0","2","0","0","0","0","0","2","4","1","10","22","14","0","0","-"
"252","Morgan Geekie","BOS","C","13","189.65","2","1","1","0","3","42.86","15","13.33","2.26","36","28","17","12","3","0","6","3","3","0","0","1","4","5","32","39","4","62","73","45.93"
"253","Mikey Anderson","L.A","D","5","87.583333333333","1","2","0","2","3","42.86","8","12.50","0.4","19","12","5","1","0","2","0","0","0","0","0","1","2","0","16","13","7","0","0","-"
"256","Elias Pettersson","VAN","C","13","172.48333333333","0","3","1","2","3","60.00","15","0.00","1.68","38","28","20","8","0","2","0","0","0","0","0","5","5","5","22","21","11","43","41","51.19"
"257","Gabriel Vilardi","WPG","C","5","66.583333333333","0","3","3","0","3","60.00","9","0.00","1.42","14","13","10","6","0","2","6","2","2","0","0","1","0","1","3","6","4","0","1","0.00"
"272","Pius Suter","VAN","C","13","169.03333333333","2","1","1","0","3","37.50","21","9.52","3.97","41","36","30","22","2","5","6","3","3","0","0","1","0","4","13","11","4","2","6","25.00"
"275","Martin Fehervary","WSH","D","4","70.166666666667","2","1","0","1","3","100.00","8","25.00","0.38","14","10","6","1","1","0","2","1","1","0","0","1","0","0","13","12","6","0","0","-"
"277","Ryan McLeod","EDM","C","22","246.13333333333","3","0","0","0","3","75.00","19","15.79","2.9","40","30","20","9","2","3","6","2","2","0","0","2","5","11","26","39","7","62","58","51.67"
"283","Jack Drury","CAR","C","11","130.9","1","2","2","0","3","42.86","21","4.76","1.63","40","31","16","7","2","4","2","1","1","0","0","1","4","1","10","17","10","51","31","62.20"
"289","Ilya Lyubushkin","TOR","D","7","106.63333333333","0","3","1","2","3","50.00","3","0.00","0.22","9","7","5","1","0","1","2","1","1","0","0","2","7","2","28","18","7","0","0","-"
"305","Thomas Harley","DAL","D","19","399.93333333333","0","3","1","2","3","18.75","22","0.00","1.07","56","34","14","2","1","6","0","0","0","0","0","0","10","13","11","61","47","0","0","-"
"335","Matthew Knies","TOR","L","7","94.416666666667","2","1","1","0","3","75.00","13","15.38","1.46","17","15","14","6","2","0","2","1","1","0","0","0","4","1","22","23","7","1","0","100.00"
"3","Brent Burns","CAR","D","11","187.81666666667","1","1","0","1","2","22.22","19","5.26","0.44","51","24","10","1","1","4","2","1","1","0","0","1","6","6","6","9","12","0","0","-"
"4","Corey Perry","EDM","R","17","173.66666666667","0","2","1","1","2","66.67","11","0.00","2","24","19","17","11","1","3","12","6","6","0","0","2","5","8","17","28","2","0","0","-"
"14","Kyle Okposo","FLA","R","16","131.71666666667","0","2","1","1","2","40.00","15","0.00","1.31","28","21","10","5","1","1","10","5","5","0","0","1","2","2","51","29","9","2","9","18.18"
"17","Jordan Staal","CAR","C","11","158.78333333333","1","1","1","0","2","40.00","28","3.57","3.55","45","39","31","18","0","4","4","2","2","0","0","0","4","0","46","17","6","95","74","56.21"
"19","Ian Cole","VAN","D","13","178.2","0","2","2","0","2","40.00","3","0.00","0.26","21","12","10","0","1","4","6","3","3","0","0","0","8","2","18","28","21","0","0","-"
"21","Pat Maroon","BOS","L","13","117.05","0","2","1","1","2","100.00","5","0.00","0.87","13","9","7","3","0","2","18","5","4","0","1","1","6","3","30","13","2","0","0","-"
"39","Kyle Palmieri","NYI","C","5","71.783333333333","0","2","2","0","2","100.00","11","0.00","0.76","17","13","10","3","1","2","0","0","0","0","0","0","5","1","4","3","8","2","1","66.67"
"45","Oliver Ekman-Larsson","FLA","D","22","282.85","2","0","0","0","2","16.67","20","10.00","1.17","58","37","16","4","1","6","20","6","5","0","1","5","5","2","53","45","16","0","0","-"
"53","Craig Smith","DAL","C","14","156.71666666667","0","2","2","0","2","100.00","14","0.00","0.93","35","24","11","4","2","2","2","1","1","0","0","2","5","9","25","15","9","4","5","44.44"
"54","Casey Cizikas","NYI","C","5","73.983333333333","1","1","0","1","2","66.67","5","20.00","0.89","10","8","8","4","0","0","2","1","1","0","0","0","2","2","12","7","3","0","3","0.00"
"55","Anders Lee","NYI","L","5","71.866666666667","0","2","2","0","2","100.00","12","0.00","1.22","22","17","9","7","0","2","6","3","3","0","0","3","3","0","13","3","2","0","0","-"
"62","Tyler Toffoli","WPG","C","5","59.7","2","0","0","0","2","100.00","8","25.00","0.62","17","12","10","4","0","2","0","0","0","0","0","0","1","0","8","9","2","4","1","80.00"
"65","Brock Nelson","NYI","C","5","80.65","2","0","0","0","2","100.00","6","33.33","0.73","11","9","5","2","1","1","0","0","0","0","0","1","2","1","2","4","6","30","32","48.39"
"73","Nino Niederreiter","WPG","R","5","56.733333333333","0","2","0","2","2","100.00","8","0.00","0.96","15","11","8","6","1","3","2","1","1","0","0","2","1","2","12","6","3","0","1","0.00"
"79","Adam Lowry","WPG","C","5","58.983333333333","2","0","0","0","2","66.67","4","50.00","0.99","12","10","8","6","1","1","7","2","1","1","0","2","1","0","22","8","3","44","25","63.77"
"100","Phillip Di Giuseppe","VAN","L","11","103.85","1","1","0","1","2","66.67","7","14.29","0.94","21","14","14","7","1","1","2","1","1","0","0","0","1","2","36","9","4","0","0","-"
