"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"186","Connor McDavid","EDM","C","23","397.7","5","16","12","4","21","77.78","45","11.11","4.35","85","66","48","21","1","8","8","3","3","0","0","12","9","18","37","46","13","129","166","43.73"
"278","Evan Bouchard","EDM","D","23","436.7","4","12","3","9","16","59.26","48","8.33","2.26","123","63","37","4","1","12","20","6","5","0","1","7","15","11","24","52","32","0","0","-"
"70","Zach Hyman","EDM","L","23","372.65","9","6","4","2","15","62.50","56","16.07","7.54","103","82","61","36","3","10","6","3","3","0","0","6","5","4","47","62","8","1","0","100.00"
"159","Leon Draisaitl","EDM","C","23","361.96666666667","4","9","8","1","13","61.90","34","11.76","3.53","67","48","35","16","5","5","14","7","7","0","0","9","21","14","20","56","13","144","161","47.21"
"323","Anton Lundell","FLA","C","22","279.13333333333","3","9","6","3","12","80.00","22","13.64","2.81","66","43","31","11","0","10","10","5","5","0","0","8","13","10","38","30","12","128","103","55.41"
"86","Ryan Nugent-Hopkins","EDM","C","23","293.4","2","9","1","8","11","61.11","17","11.76","1.86","40","30","20","10","2","3","6","3","3","0","0","2","5","5","32","26","9","23","39","37.10"
"209","Evan Rodrigues","FLA","C","22","271.86666666667","5","6","5","1","11","73.33","36","13.89","2.66","67","46","31","14","5","1","2","1","1","0","0","2","8","14","48","55","8","42","37","53.16"
"223","Matthew Tkachuk","FLA","L","22","292.25","4","7","6","1","11","61.11","56","7.14","4.88","95","74","50","25","3","9","10","5","5","0","0","9","13","7","59","30","5","0","1","0.00"
"132","Carter Verhaeghe","FLA","C","22","321.48333333333","4","6","2","4","10","76.92","44","9.09","4.9","96","67","62","25","4","13","16","8","8","0","0","5","8","8","25","45","11","11","21","34.38"
"179","Gustav Forsling","FLA","D","22","403.21666666667","4","6","5","1","10","52.63","45","8.89","1.71","102","62","28","4","3","4","12","6","6","0","0","0","10","14","36","40","19","0","0","-"
"322","Alexis Lafrenière","NYR","L","16","231.58333333333","7","3","1","2","10","76.92","35","20.00","3.53","66","52","36","13","1","2","6","3","3","0","0","2","2","10","39","29","6","4","6","40.00"
"336","Wyatt Johnston","DAL","C","19","306.18333333333","7","3","2","1","10","83.33","44","15.91","7.66","109","76","68","24","3","10","2","1","1","0","0","4","7","13","22","29","13","76","92","45.24"
"142","Aleksander Barkov","FLA","C","22","308.98333333333","5","4","3","1","9","75.00","42","11.90","4.35","77","56","49","23","4","7","8","4","4","0","0","8","10","23","43","38","14","128","103","55.41"
"258","Jason Robertson","DAL","L","19","306.2","4","5","2","3","9","90.00","31","12.90","2.86","72","42","31","14","8","7","0","0","0","0","0","5","10","17","24","33","20","0","0","-"
"18","Jamie Benn","DAL","L","19","254.31666666667","3","5","2","3","8","72.73","23","13.04","2.9","55","39","29","14","4","3","6","3","3","0","0","4","5","10","47","28","10","84","44","65.63"
"71","Tyler Seguin","DAL","C","19","266.35","3","5","3","2","8","61.54","41","7.32","4.51","72","51","46","25","2","8","2","1","1","0","0","3","5","11","32","20","4","98","78","55.68"
"78","Vincent Trocheck","NYR","C","16","249.85","3","5","4","1","8","66.67","23","13.04","3.73","57","45","33","18","2","9","8","4","4","0","0","9","6","8","57","44","13","120","96","55.56"
"210","Artemi Panarin","NYR","L","16","255.58333333333","3","5","2","3","8","72.73","35","8.57","1.96","73","49","31","6","4","6","2","1","1","0","0","3","9","2","11","13","6","0","0","-"
"260","Miro Heiskanen","DAL","D","19","453.8","2","6","3","3","8","53.33","34","5.88","1.61","85","49","23","5","2","14","8","4","4","0","0","5","15","9","24","83","38","0","0","-"
"24","Evgenii Dadonov","DAL","R","19","239.91666666667","3","4","3","1","7","77.78","25","12.00","3.97","60","46","36","21","4","8","2","1","1","0","0","3","3","5","21","22","15","0","0","-"
"44","Evander Kane","EDM","L","20","284.1","4","3","1","2","7","63.64","42","9.52","4.53","91","63","51","19","3","11","25","6","4","1","1","5","6","3","64","52","6","6","10","37.50"
"68","Vladimir Tarasenko","FLA","R","22","247.73333333333","3","4","1","3","7","58.33","35","8.57","4.48","62","47","38","20","6","9","0","0","0","0","0","2","9","1","43","42","18","0","0","-"
"120","Brett Kulak","EDM","D","23","350.45","1","6","4","2","7","53.85","20","5.00","0.77","54","29","13","0","2","5","14","7","7","0","0","6","13","6","19","59","39","0","0","-"
"141","Nathan MacKinnon","COL","C","11","215.03333333333","3","4","3","1","7","63.64","36","8.33","2.53","71","51","29","9","0","9","2","1","1","0","0","2","11","8","8","12","13","77","92","45.56"
"144","Elias Lindholm","VAN","C","13","165","3","4","2","2","7","70.00","17","17.65","1.78","33","28","16","9","2","1","0","0","0","0","0","2","0","3","29","9","11","96","78","55.17"
"153","Nikita Zadorov","VAN","D","13","219.11666666667","4","3","0","3","7","87.50","19","21.05","0.54","46","28","7","1","2","4","24","8","7","0","1","4","5","3","40","33","13","0","0","-"
"158","Sam Reinhart","FLA","C","22","315.85","3","4","1","3","7","77.78","50","6.00","4.81","93","72","49","19","5","9","2","1","1","0","0","3","9","9","42","50","23","47","56","45.63"
"160","Sam Bennett","FLA","C","17","218.91666666667","4","3","2","1","7","70.00","23","17.39","3.56","77","43","31","19","2","10","12","6","6","0","0","7","11","6","72","31","4","44","35","55.70"
"320","Dylan Holloway","EDM","L","23","260.16666666667","5","2","1","1","7","58.33","28","17.86","2.28","48","36","27","15","3","5","8","4","4","0","0","3","14","5","77","51","21","1","5","16.67"
