"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"939","Cameron Butler","CBJ","R","1","0.9","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","1","0","0","0","100.00","3","0","0","100.00"
"583","Cale Fleury","SEA","D","1","13.5","20","5","80.00","16","4","80.00","8","3","72.73","1","0","100.00","0.88","0.21","80.59","11","3","78.57","2","1","66.67","1","0","100.00","9","2","81.82","0","0","-","14","2","87.50","0","0","-","12.50","100.00","1.125","2","1","0","14","100.00","8","3","0","100.00"
"265","Jayson Megna","BOS","C","1","11.75","13","4","76.47","8","4","66.67","6","4","60.00","0","0","-","0.31","0.17","63.87","5","3","62.50","1","1","50.00","0","0","-","4","2","66.67","0","0","-","7","0","100.00","0","0","-","0.00","100.00","1.000","0","1","1","13","0.00","0","2","1","0.00"
"988","Ondrej Pavel","COL","C","2","12.2","15","5","75.00","9","3","75.00","6","3","66.67","0","1","0.00","0.68","0.11","86.01","8","1","88.89","3","0","100.00","0","0","-","5","1","83.33","0","0","-","7","3","70.00","0","1","0.00","0.00","66.67","0.667","1","4","0","15","100.00","3","6","1","75.00"
"866","Mavrik Bourque","DAL","C","1","10.933333333333","20","7","74.07","13","5","72.22","7","4","63.64","0","0","-","0.66","0.2","77.02","6","3","66.67","3","1","75.00","0","0","-","3","2","60.00","0","0","-","14","6","70.00","0","0","-","0.00","100.00","1.000","2","4","3","8","40.00","4","4","3","57.14"
"759","Kirby Dach","MTL","C","2","26.033333333333","33","14","70.21","23","13","63.89","17","11","60.71","3","0","100.00","1.38","0.55","71.61","15","5","75.00","7","4","63.64","2","0","100.00","8","1","88.89","1","0","100.00","17","8","68.00","0","0","-","17.65","100.00","1.176","5","7","1","14","83.33","10","9","4","71.43"
"989","Cole McWard","VAN","D","1","9.0833333333333","9","4","69.23","4","4","50.00","2","2","50.00","0","0","-","0.31","0.29","51.13","2","3","40.00","1","2","33.33","0","0","-","1","1","50.00","0","0","-","8","1","88.89","0","0","-","0.00","100.00","1.000","1","1","0","10","100.00","3","1","1","75.00"
"984","Bradly Nadeau","CAR","L","1","19.133333333333","22","10","68.75","17","8","68.00","11","5","68.75","0","3","0.00","1.03","0.46","69.08","10","5","66.67","3","3","50.00","0","1","0.00","7","2","77.78","0","1","0.00","11","4","73.33","0","1","0.00","0.00","40.00","0.400","1","1","3","17","25.00","2","4","3","40.00"
"539","Brett Murray","BUF","L","2","15.933333333333","10","5","66.67","8","5","61.54","8","2","80.00","0","1","0.00","0.31","0.14","69.44","3","2","60.00","1","0","100.00","0","0","-","2","2","50.00","0","1","0.00","10","4","71.43","0","0","-","0.00","50.00","0.500","4","4","0","15","100.00","8","5","2","80.00"
"493","Matthew Tkachuk","FLA","L","80","1491.2","2222","1141","66.07","1558","900","63.38","1077","657","62.11","128","60","68.09","131.06","60.38","68.46","1180","524","69.25","529","233","69.42","62","28","68.89","651","291","69.11","42","23","64.62","1288","638","66.87","19","4","82.61","11.88","90.87","1.028","369","288","143","949","72.07","747","399","294","71.76"
"847","Vasily Ponomarev","CAR","C","2","19.35","29","15","65.91","20","11","64.52","12","7","63.16","2","1","66.67","1.8","0.66","73.20","18","9","66.67","7","2","77.78","1","0","100.00","11","7","61.11","1","1","50.00","12","6","66.67","0","0","-","16.67","85.71","1.024","2","1","2","16","50.00","5","3","3","62.50"
"144","Zach Hyman","EDM","L","80","1560.0333333333","2221","1183","65.25","1653","864","65.67","1174","633","64.97","157","69","69.47","145.12","65.58","68.88","1219","597","67.13","551","214","72.03","87","30","74.36","668","383","63.56","41","24","63.08","1329","618","68.26","27","7","79.41","13.37","89.10","1.025","415","257","139","808","74.91","837","362","334","71.48"
"287","Carter Verhaeghe","FLA","C","76","1365.15","1961","1057","64.98","1384","830","62.51","974","586","62.44","113","55","67.26","109.76","53.53","67.22","1013","453","69.10","431","196","68.74","55","24","69.62","582","257","69.37","37","22","62.71","1161","633","64.72","18","5","78.26","11.60","90.61","1.022","347","282","140","857","71.25","660","383","293","69.25"
"282","Jake Guentzel","CAR","C, L","17","297.48333333333","410","222","64.87","306","161","65.52","210","114","64.81","34","6","85.00","26.26","9.9","72.63","202","95","68.01","83","36","69.75","12","4","75.00","119","59","66.85","14","1","93.33","262","125","67.70","7","0","100.00","16.19","94.74","1.109","74","52","28","195","72.55","142","75","64","68.93"
"199","Stefan Noesen","CAR","R","81","960.91666666667","1210","656","64.84","864","478","64.38","567","330","63.21","60","27","68.97","58.73","30.48","65.83","533","294","64.45","218","131","62.46","32","12","72.73","315","163","65.90","18","12","60.00","787","386","67.09","10","3","76.92","10.58","91.82","1.024","241","207","90","784","72.81","421","292","213","66.40"
"929","Nikita Chibrikov","WPG","R","1","11.05","11","6","64.71","7","3","70.00","6","3","66.67","1","1","50.00","0.67","0.22","75.02","4","4","50.00","1","3","25.00","0","1","0.00","3","1","75.00","1","0","100.00","8","2","80.00","0","0","-","16.67","66.67","0.833","6","0","1","8","85.71","7","1","2","77.78"
"678","Evan Bouchard","EDM","D","81","1862.7666666667","2480","1353","64.70","1850","1014","64.59","1316","734","64.20","169","78","68.42","154.16","76.5","66.83","1332","675","66.37","590","271","68.52","96","39","71.11","742","404","64.75","38","23","62.30","1511","729","67.46","33","8","80.49","12.84","89.37","1.022","371","292","183","959","66.97","931","459","421","68.86"
"779","Matt Boldy","MIN","L","75","1416.1666666667","1949","1074","64.47","1428","777","64.76","994","530","65.22","109","58","65.27","114.78","48.12","70.46","1035","484","68.14","444","180","71.15","48","21","69.57","591","304","66.03","34","17","66.67","1145","633","64.40","26","17","60.47","10.97","89.06","1.000","343","291","154","647","69.01","704","409","314","69.16"
"415","Connor McDavid","EDM","C","76","1623.3","2242","1237","64.44","1673","933","64.20","1195","682","63.67","167","82","67.07","146.79","70.14","67.67","1256","624","66.81","549","240","69.58","93","36","72.09","707","384","64.80","42","28","60.00","1324","676","66.20","29","10","74.36","13.97","87.98","1.020","383","261","153","823","71.46","836","401","371","69.26"
"124","Tyler Toffoli","N.J","R","61","1069.6333333333","1530","851","64.26","1065","663","61.63","751","467","61.66","85","63","57.43","84.44","57.94","59.30","767","409","65.22","299","177","62.82","36","31","53.73","468","232","66.86","34","21","61.82","929","404","69.69","13","7","65.00","11.32","86.51","0.978","284","179","68","828","80.68","552","274","158","77.75"
"468","Artemi Panarin","NYR","L","82","1649.75","2344","1306","64.22","1723","985","63.63","1160","706","62.17","150","73","67.26","134.89","73.56","64.71","1188","644","64.85","482","261","64.87","64","44","59.26","706","383","64.83","46","18","71.88","1467","576","71.81","36","6","85.71","12.93","89.66","1.026","384","246","44","1109","89.72","807","369","139","85.31"
"686","Andrei Svechnikov","CAR","R","59","1001.8","1399","785","64.06","1003","616","61.95","654","440","59.78","76","34","69.09","76.32","43.3","63.80","651","362","64.26","258","156","62.32","37","16","69.81","393","206","65.61","24","12","66.67","910","433","67.76","12","4","75.00","11.62","92.27","1.039","256","157","117","668","68.63","500","239","249","66.76"
"977","Andrei Kuzmenko","VAN","L","43","617.11666666667","786","447","63.75","571","343","62.47","385","259","59.78","51","28","64.56","45.98","22.25","67.39","414","209","66.45","184","93","66.43","22","13","62.86","230","116","66.47","13","12","52.00","473","241","66.25","16","3","84.21","13.25","89.19","1.024","174","82","42","463","80.56","280","115","98","74.07"
"780","Jack Hughes","N.J","C","62","1300.35","1768","1015","63.53","1234","788","61.03","887","559","61.34","98","68","59.04","97.94","63.09","60.82","904","481","65.27","332","198","62.64","43","30","58.90","572","283","66.90","39","24","61.90","1087","534","67.06","16","9","64.00","11.05","87.84","0.989","306","193","80","850","79.27","637","294","203","75.83"
"458","Denis Gurianov","PHI","R","4","43.65","47","27","63.51","36","17","67.92","23","10","69.70","0","0","-","1.92","0.91","67.93","21","10","67.74","10","5","66.67","0","0","-","11","5","68.75","0","0","-","28","13","68.29","0","0","-","0.00","100.00","1.000","7","15","4","38","63.64","9","23","5","64.29"
"648","Marián Studenic","SEA","R","2","16.216666666667","19","11","63.33","16","7","69.57","10","7","58.82","0","1","0.00","0.8","0.52","60.43","6","7","46.15","4","3","57.14","0","1","0.00","2","4","33.33","0","0","-","15","6","71.43","0","0","-","0.00","85.71","0.857","4","1","1","18","80.00","4","6","2","66.67"
"388","Michael Bunting","CAR","L","60","906.71666666667","1192","695","63.17","850","532","61.51","562","382","59.53","56","42","57.14","60.15","38.28","61.11","526","333","61.23","212","146","59.22","31","22","58.49","314","187","62.67","14","17","45.16","766","350","68.64","11","0","100.00","9.96","89.01","0.990","233","145","57","633","80.34","434","219","160","73.06"
"963","Shane Wright","SEA","C","8","108.28333333333","133","78","63.03","88","60","59.46","52","46","53.06","6","4","60.00","7.09","3.1","69.54","57","40","58.76","26","13","66.67","3","2","60.00","31","27","53.45","2","2","50.00","87","41","67.97","1","0","100.00","11.54","91.30","1.028","24","19","8","89","75.00","52","30","16","76.47"
"708","Calen Addison","MIN","D","12","201.68333333333","285","168","62.91","189","117","61.76","134","87","60.63","15","13","53.57","14.92","8.41","63.96","127","80","61.35","50","35","58.82","10","3","76.92","77","45","63.11","2","5","28.57","187","91","67.27","3","3","50.00","11.19","85.06","0.963","46","31","15","133","75.41","102","49","37","73.38"
"310","Nathan MacKinnon","COL","C","82","1870.7666666667","2587","1528","62.87","1902","1126","62.81","1345","790","63.00","187","88","68.00","144.48","79.83","64.41","1346","690","66.11","543","291","65.11","95","43","68.84","803","399","66.81","54","24","69.23","1659","881","65.31","32","15","68.09","13.90","88.86","1.028","517","340","156","939","76.82","1116","525","411","73.08"
"477","Kirill Kaprizov","MIN","L","75","1616.1666666667","2148","1287","62.53","1576","935","62.76","1077","664","61.86","136","74","64.76","129.59","57.81","69.15","1113","593","65.24","504","225","69.14","68","29","70.10","609","368","62.33","37","25","59.68","1280","733","63.59","25","15","62.50","12.63","88.86","1.015","341","320","120","783","73.97","799","466","317","71.59"
"900","Alex Steeves","TOR","C","1","10.233333333333","10","6","62.50","10","3","76.92","6","2","75.00","0","1","0.00","0.71","0.22","76.13","4","4","50.00","2","1","66.67","0","0","-","2","3","40.00","0","1","0.00","7","1","87.50","0","0","-","0.00","50.00","0.500","1","4","0","9","100.00","2","6","2","50.00"
"125","Tyler Toffoli","WPG","C","18","270.21666666667","343","206","62.48","250","161","60.83","169","109","60.79","21","8","72.41","20.03","9.5","67.84","157","99","61.33","68","35","66.02","12","1","92.31","89","64","58.17","6","5","54.55","227","121","65.23","2","1","66.67","12.43","92.66","1.051","63","55","28","181","69.23","122","80","64","65.59"
"467","Evan Rodrigues","FLA","C","80","1213.3833333333","1557","936","62.45","1105","691","61.53","770","477","61.75","67","29","69.79","77.77","41.1","65.43","702","419","62.62","302","170","63.98","39","16","70.91","400","249","61.63","13","5","72.22","984","534","64.82","14","7","66.67","8.70","93.92","1.026","282","259","174","862","61.84","474","354","317","59.92"
"283","Jake Guentzel","PIT","L","50","1033.25","1520","916","62.40","1083","719","60.10","753","501","60.05","79","55","58.96","92.43","50.56","64.64","798","456","63.64","326","188","63.42","39","29","57.35","472","268","63.78","17","18","48.57","971","465","67.62","20","5","80.00","10.49","89.02","0.995","269","251","76","592","77.97","592","357","223","72.64"
"227","Teuvo Teravainen","CAR","L","76","1246.5333333333","1506","908","62.39","1110","686","61.80","742","498","59.84","81","51","61.36","81.22","49.91","61.94","665","446","59.86","270","200","57.45","32","30","51.61","395","246","61.62","28","11","71.79","983","513","65.71","17","8","68.00","10.92","89.76","1.007","285","217","153","960","65.07","515","327","315","62.05"
"676","Brady Tkachuk","OTT","L","81","1550.5166666667","2133","1288","62.35","1575","918","63.18","1114","663","62.69","105","71","59.66","119.3","65.02","64.73","1091","621","63.73","440","245","64.23","53","36","59.55","651","376","63.39","37","21","63.79","1278","713","64.19","15","12","55.56","9.43","89.29","0.987","358","375","194","1086","64.86","741","526","391","65.46"
"688","Jack Drury","CAR","C","74","908.65","1060","640","62.35","745","470","61.32","491","328","59.95","48","32","60.00","46.85","29.32","61.51","430","287","59.97","173","116","59.86","28","11","71.79","257","171","60.05","12","18","40.00","693","363","65.63","8","2","80.00","9.78","90.24","1.000","196","197","87","727","69.26","346","268","198","63.60"
"119","Mats Zuccarello","MIN","R","69","1301.8333333333","1707","1032","62.32","1227","726","62.83","837","513","62.00","97","56","63.40","100.15","45.84","68.60","872","453","65.81","368","178","67.40","50","24","67.57","504","275","64.70","21","18","53.85","1044","595","63.70","23","8","74.19","11.59","89.08","1.007","292","219","94","678","75.65","644","347","233","73.43"
"312","Jonathan Drouin","COL","L","79","1436.6333333333","1874","1134","62.30","1381","843","62.10","971","588","62.28","122","61","66.67","98.17","61.54","61.47","946","499","65.47","389","215","64.40","66","32","67.35","557","284","66.23","30","14","68.18","1190","641","64.99","24","10","70.59","12.56","89.63","1.022","374","262","123","841","75.25","720","384","293","71.08"
"611","Jason Robertson","DAL","L","82","1502.6333333333","1920","1165","62.24","1368","829","62.27","944","549","63.23","117","59","66.48","104.67","48.14","68.50","996","486","67.21","417","189","68.81","58","32","64.44","579","297","66.10","44","18","70.97","1145","727","61.16","12","5","70.59","12.39","89.25","1.016","353","273","183","930","65.86","689","409","406","62.92"
"675","Quinn Hughes","VAN","D","82","2024.1666666667","2478","1504","62.23","1752","1166","60.04","1167","829","58.47","162","77","67.78","139.89","84.09","62.46","1253","728","63.25","551","362","60.35","83","47","63.85","702","366","65.73","41","20","67.21","1587","795","66.62","34","7","82.93","13.88","90.71","1.046","374","305","193","1203","65.96","863","472","411","67.74"
"311","Aleksander Barkov","FLA","C","73","1433.4833333333","1881","1148","62.10","1355","837","61.82","942","584","61.73","115","53","68.45","111.85","63.64","63.73","952","549","63.42","419","207","66.93","64","24","72.73","533","342","60.91","26","15","63.41","1160","716","61.83","19","10","65.52","12.21","90.92","1.031","355","304","300","841","54.20","644","407","484","57.09"
"349","Sam Bennett","FLA","C","69","1146.0833333333","1566","962","61.95","1100","746","59.59","773","549","58.47","77","42","64.71","82.67","47.14","63.68","792","438","64.39","328","203","61.77","29","22","56.86","464","235","66.38","34","15","69.39","894","549","61.95","11","2","84.62","9.96","92.35","1.023","262","242","116","895","69.31","479","331","257","65.08"
"353","Kevin Fiala","L.A","L","82","1478.9166666667","1802","1112","61.84","1338","785","63.02","920","550","62.59","100","59","62.89","99.41","53.28","65.10","868","508","63.08","337","187","64.31","48","26","64.86","531","321","62.32","32","21","60.38","1132","630","64.25","18","9","66.67","10.87","89.27","1.001","297","242","153","940","66.00","616","373","334","64.84"
"371","Brandon Montour","FLA","D","66","1547.5166666667","1984","1225","61.83","1416","940","60.10","990","646","60.51","95","56","62.91","106.12","59.51","64.07","967","543","64.04","426","226","65.34","45","26","63.38","541","317","63.05","34","19","64.15","1186","711","62.52","13","7","65.00","9.60","91.33","1.009","290","283","183","941","61.31","654","425","375","63.56"
"617","Martin Necas","CAR","C","77","1336.4333333333","1730","1068","61.83","1243","809","60.58","828","590","58.39","78","66","54.17","82.29","61.8","57.11","767","505","60.30","290","232","55.56","39","31","55.71","477","273","63.60","24","22","52.17","1065","561","65.50","15","8","65.22","9.42","88.81","0.982","238","200","85","1025","73.68","509","326","253","66.80"
"230","Filip Forsberg","NSH","L","82","1550.25","2088","1296","61.70","1491","936","61.43","1045","682","60.51","130","68","65.66","118.66","70.08","62.87","1056","614","63.23","451","237","65.55","78","26","75.00","605","377","61.61","23","24","48.94","1345","704","65.64","26","12","68.42","12.44","90.03","1.025","426","286","142","1000","75.00","851","421","340","71.45"
"976","Andrei Kuzmenko","CGY","L","29","454.55","583","363","61.63","411","272","60.18","273","182","60.00","37","24","60.66","31.28","22","58.71","302","166","64.53","129","71","64.50","20","8","71.43","173","95","64.55","8","10","44.44","371","197","65.32","9","3","75.00","13.55","86.81","1.004","136","85","21","303","86.62","252","129","64","79.75"
"359","Tony DeAngelo","CAR","D","31","444.51666666667","573","357","61.61","405","269","60.09","277","199","58.19","25","21","54.35","28.44","17","62.59","250","178","58.41","111","73","60.33","13","11","54.17","139","105","56.97","8","8","50.00","381","180","67.91","4","2","66.67","9.03","89.45","0.985","109","64","29","305","78.99","215","111","95","69.35"
"426","Sebastian Aho","CAR","C","78","1530.95","1897","1186","61.53","1387","911","60.36","926","646","58.91","126","61","67.38","108.35","73.3","59.65","884","581","60.34","358","246","59.27","55","30","64.71","526","335","61.09","45","18","71.43","1261","636","66.47","21","7","75.00","13.61","90.56","1.042","381","211","146","1076","72.30","720","323","346","67.54"
"347","Sam Reinhart","FLA","C","82","1664.5833333333","2145","1342","61.51","1539","980","61.10","1053","688","60.48","131","73","64.22","125.48","72.93","63.24","1081","615","63.74","465","245","65.49","72","37","66.06","616","370","62.47","35","17","67.31","1313","840","60.98","19","14","57.58","12.44","89.39","1.018","411","335","324","947","55.92","747","447","543","57.91"
"781","Arthur Kaliyev","L.A","R","51","601.91666666667","740","466","61.36","566","330","63.17","378","237","61.46","29","24","54.72","38","21.96","63.37","352","222","61.32","150","95","61.22","17","13","56.67","202","127","61.40","8","4","66.67","439","260","62.80","4","5","44.44","7.67","89.87","0.975","122","107","64","474","65.59","209","158","133","61.11"
"423","Mikko Rantanen","COL","R","80","1832.45","2447","1554","61.16","1781","1137","61.03","1264","798","61.30","168","86","66.14","135.36","79.21","63.09","1264","693","64.59","496","302","62.16","83","40","67.48","768","391","66.26","49","24","67.12","1582","897","63.82","30","17","63.83","13.29","89.22","1.025","502","312","164","883","75.38","1068","469","411","72.21"
"430","Tommy Novak","NSH","C","71","1008.2166666667","1292","821","61.15","935","594","61.15","656","436","60.07","64","49","56.64","64.69","42.84","60.16","664","376","63.85","255","140","64.56","31","16","65.96","409","236","63.41","18","18","50.00","737","432","63.05","13","11","54.17","9.76","88.76","0.985","213","149","46","847","82.24","444","248","129","77.49"
"13","Sidney Crosby","PIT","C","82","1637.5333333333","2333","1483","61.14","1681","1145","59.48","1172","786","59.86","134","97","58.01","145.1","85.47","62.93","1213","726","62.56","514","297","63.38","66","54","55.00","699","429","61.97","30","28","51.72","1506","785","65.74","32","12","72.73","11.43","87.66","0.991","438","424","156","966","73.74","934","590","400","70.01"
"535","Jesper Bratt","N.J","L","82","1581.5666666667","2069","1316","61.12","1447","1024","58.56","1028","733","58.38","132","96","57.89","117.31","91.93","56.06","1091","635","63.21","443","284","60.94","56","45","55.45","648","351","64.86","55","27","67.07","1226","712","63.26","19","17","52.78","12.84","86.90","0.997","394","347","214","1096","64.80","735","482","389","65.39"
"685","Jesperi Kotkaniemi","CAR","C","79","1025.35","1288","820","61.10","917","613","59.93","607","437","58.14","51","44","53.68","59.94","42.62","58.44","559","392","58.78","222","181","55.09","22","22","50.00","337","211","61.50","14","16","46.67","804","435","64.89","15","4","78.95","8.40","89.93","0.983","213","199","100","801","68.05","403","308","232","63.46"
"185","Nikita Kucherov","T.B","R","81","1755.1666666667","2299","1465","61.08","1681","1089","60.69","1145","780","59.48","174","103","62.82","135.87","87.21","60.91","1161","711","62.02","454","298","60.37","75","47","61.48","707","413","63.13","54","30","64.29","1399","749","65.13","43","17","71.67","15.20","86.79","1.020","383","262","126","1022","75.25","822","406","312","72.49"
"348","Leon Draisaitl","EDM","C","81","1676.3333333333","2125","1356","61.05","1605","1038","60.73","1124","756","59.79","153","75","67.11","141.17","78","64.41","1165","679","63.18","513","269","65.60","77","36","68.14","652","410","61.39","40","22","64.52","1308","797","62.14","32","9","78.05","13.61","90.08","1.037","402","320","264","775","60.36","834","442","531","61.10"
"138","Vladimir Tarasenko","FLA","R","19","281.2","358","229","60.99","248","172","59.05","173","130","57.10","18","15","54.55","19.17","13","59.60","169","106","61.45","73","49","59.84","8","8","50.00","96","57","62.75","4","4","50.00","229","123","65.06","6","1","85.71","10.40","88.46","0.989","72","79","30","207","70.59","119","101","67","63.98"
"389","Michael Bunting","PIT","L","21","363.81666666667","490","314","60.95","355","240","59.66","247","157","61.14","28","23","54.90","25.78","19.88","56.46","243","161","60.15","102","61","62.58","15","12","55.56","141","100","58.51","8","6","57.14","321","143","69.18","5","5","50.00","11.34","85.35","0.967","103","64","19","252","84.43","198","103","48","80.49"
"861","Lukas Cormier","VGK","D","2","34.566666666667","42","27","60.87","29","19","60.42","22","14","61.11","2","0","100.00","2.53","0.89","73.92","22","10","68.75","14","5","73.68","1","0","100.00","8","5","61.54","0","0","-","25","17","59.52","1","0","100.00","9.09","100.00","1.091","5","8","4","22","55.56","12","13","6","66.67"
"616","Miro Heiskanen","DAL","D","71","1742.3666666667","2158","1388","60.86","1549","1026","60.16","1041","707","59.55","119","75","61.34","118.52","64.12","64.89","1098","591","65.01","482","248","66.03","69","39","63.89","616","343","64.23","35","21","62.50","1380","867","61.42","15","12","55.56","11.43","89.39","1.008","375","315","214","963","63.67","888","490","480","64.91"
"4","Brent Burns","CAR","D","82","1763.0666666667","2243","1449","60.75","1568","1095","58.88","1043","762","57.78","120","80","60.00","114.68","84.77","57.50","1032","670","60.63","428","289","59.69","61","34","64.21","604","381","61.32","37","28","56.92","1381","875","61.21","17","11","60.71","11.51","89.50","1.010","305","306","260","1174","53.98","732","503","585","55.58"
"479","Adam Gaudette","STL","C","2","19.6","17","11","60.71","10","7","58.82","6","6","50.00","1","1","50.00","0.77","0.31","71.24","8","5","61.54","4","2","66.67","1","0","100.00","4","3","57.14","0","0","-","8","5","61.54","0","1","0.00","16.67","83.33","1.000","2","3","2","22","50.00","5","4","3","62.50"
"910","Luke Hughes","N.J","D","82","1760.8333333333","2199","1424","60.70","1511","1094","58.00","1067","768","58.15","107","90","54.31","116.59","91.2","56.11","1082","683","61.30","421","309","57.67","49","41","54.44","661","374","63.86","39","31","55.71","1396","764","64.63","18","13","58.06","10.03","88.28","0.983","363","321","184","1162","66.36","848","472","378","69.17"
"158","Jesper Fast","CAR","R","73","920.13333333333","1049","680","60.67","715","490","59.34","455","334","57.67","25","27","48.08","44.41","33.77","56.80","452","307","59.55","203","138","59.53","16","16","50.00","249","169","59.57","3","7","30.00","630","394","61.52","6","4","60.00","5.49","91.92","0.974","162","302","141","693","53.47","297","373","280","51.47"
"566","Dylan Coghlan","CAR","D","1","17.983333333333","20","13","60.61","18","9","66.67","12","9","57.14","0","2","0.00","1.53","0.59","72.08","13","7","65.00","9","3","75.00","0","1","0.00","4","4","50.00","0","1","0.00","7","7","50.00","0","0","-","0.00","77.78","0.778","1","2","2","15","33.33","3","5","4","42.86"
"912","Logan Stankoven","DAL","C","24","352.13333333333","464","302","60.57","326","212","60.59","226","142","61.41","25","12","67.57","26.6","11.97","68.97","242","128","65.41","110","54","67.07","16","6","72.73","132","74","64.08","7","3","70.00","264","192","57.89","2","3","40.00","11.06","91.55","1.026","70","62","52","283","57.38","132","95","114","53.66"
"898","Daniil Miromanov","CGY","D","20","425.13333333333","526","343","60.53","360","249","59.11","241","177","57.66","19","17","52.78","24.65","16.74","59.56","244","166","59.51","90","69","56.60","6","5","54.55","154","97","61.35","6","4","60.00","301","200","60.08","6","6","50.00","7.88","90.40","0.983","58","94","63","326","47.93","149","130","135","52.46"
"193","Dougie Hamilton","N.J","D","20","419.5","560","366","60.48","383","289","56.99","274","208","56.85","27","26","50.94","29.64","25.41","53.84","274","159","63.28","106","67","61.27","12","14","46.15","168","92","64.62","10","7","58.82","315","212","59.77","4","3","57.14","9.85","87.50","0.974","66","79","39","348","62.86","169","124","108","61.01"
"496","Auston Matthews","TOR","C","81","1698.2833333333","2240","1470","60.38","1644","1022","61.67","1131","671","62.76","154","78","66.38","135.25","78.35","63.32","1224","696","63.75","565","277","67.10","74","32","69.81","659","419","61.13","52","26","66.67","1312","809","61.86","24","15","61.54","13.62","88.38","1.020","324","355","182","983","64.03","783","525","397","66.36"
"65","Jordan Eberle","SEA","R","78","1360.7","1623","1069","60.29","1136","809","58.41","775","540","58.94","79","56","58.52","82.15","57.2","58.95","773","445","63.46","310","190","62.00","40","23","63.49","463","255","64.48","23","13","63.89","1011","693","59.33","15","11","57.69","10.19","89.63","0.998","307","247","169","933","64.50","572","347","349","62.11"
"906","Scott Morrow","CAR","D","2","36.766666666667","41","27","60.29","31","21","59.62","22","17","56.41","1","4","20.00","1.91","1.06","64.29","16","10","61.54","6","5","54.55","0","2","0.00","10","5","66.67","1","1","50.00","28","17","62.22","0","1","0.00","4.55","76.47","0.810","3","8","2","25","60.00","9","12","6","60.00"
"437","Roope Hintz","DAL","C","80","1379.1833333333","1736","1147","60.22","1245","810","60.58","855","536","61.47","114","59","65.90","101.75","52.57","65.94","908","486","65.14","388","185","67.71","58","30","65.91","520","301","63.34","39","21","65.00","1060","737","58.99","13","5","72.22","13.33","88.99","1.023","375","270","259","934","59.15","672","405","467","59.00"
"867","Luke Evangelista","NSH","R","80","1116.4333333333","1358","898","60.20","982","642","60.47","690","461","59.95","66","43","60.55","68.05","41.32","62.22","688","420","62.09","266","163","62.00","32","22","59.26","422","257","62.15","19","14","57.58","793","481","62.24","14","7","66.67","9.57","90.67","1.002","233","168","75","861","75.65","460","268","179","71.99"
"10","Evgeni Malkin","PIT","C","82","1515.2166666667","1928","1275","60.19","1349","963","58.35","940","640","59.49","97","65","59.88","108.33","70.23","60.67","969","613","61.25","398","236","62.78","47","45","51.09","571","377","60.23","26","5","83.87","1188","619","65.74","23","13","63.89","10.32","89.84","1.002","313","237","79","1153","79.85","689","394","234","74.65"
"938","Logan Morrison","SEA","C","4","52.533333333333","65","43","60.19","45","30","60.00","24","26","48.00","2","1","66.67","3.35","1.76","65.57","30","18","62.50","13","5","72.22","1","1","50.00","17","13","56.67","1","0","100.00","46","26","63.89","0","0","-","8.33","96.15","1.045","14","7","3","41","82.35","20","13","15","57.14"
"159","John Klingberg","TOR","D","14","287.71666666667","365","242","60.13","254","179","58.66","176","124","58.67","19","19","50.00","18.18","15.95","53.26","189","132","58.88","76","63","54.68","8","11","42.11","113","69","62.09","6","4","60.00","225","101","69.02","5","2","71.43","10.80","84.68","0.955","58","41","19","230","75.32","131","58","47","73.60"
"84","John Tavares","TOR","C","80","1429.2","1907","1265","60.12","1376","933","59.59","984","657","59.96","103","62","62.42","115.59","65.07","63.98","1017","553","64.78","469","232","66.90","45","31","59.21","548","321","63.06","42","16","72.41","1170","706","62.37","15","10","60.00","10.47","90.56","1.010","338","271","174","855","66.02","696","383","362","65.78"
"803","Jordan Spence","L.A","D","71","1024.25","1194","793","60.09","864","592","59.34","587","416","58.52","58","41","58.59","55.5","35.68","60.87","574","386","59.79","228","170","57.29","28","21","57.14","346","216","61.57","16","12","57.14","718","428","62.65","14","7","66.67","9.88","90.14","1.000","210","136","107","754","66.25","402","231","222","64.42"
"486","Jalen Chatfield","CAR","D","72","1094.2","1172","779","60.07","863","577","59.93","567","413","57.86","50","38","56.82","51.72","37.34","58.07","494","354","58.25","181","159","53.24","26","22","54.17","313","195","61.61","13","11","54.17","742","448","62.35","11","5","68.75","8.82","90.80","0.996","151","242","113","898","57.20","365","376","268","57.66"
