"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"687","Ty Emberson","S.J","D","30","556.48333333333","451","627","41.84","318","434","42.29","228","276","45.24","17","23","42.50","18.68","26.73","41.13","186","303","38.04","70","107","39.55","8","9","47.06","116","196","37.18","5","9","35.71","306","383","44.41","4","5","44.44","7.46","91.67","0.991","39","106","113","448","25.66","154","151","225","40.63"
"213","Matt Dumba","T.B","D","18","335.6","260","362","41.80","180","263","40.63","127","195","39.44","11","17","39.29","11.21","18.82","37.34","134","170","44.08","49","77","38.89","6","11","35.29","85","93","47.75","5","3","62.50","138","205","40.23","0","3","0.00","8.66","91.28","0.999","37","71","46","264","44.58","77","105","100","43.50"
"269","Chad Ruhwedel","PIT","D","47","589.8","460","641","41.78","320","449","41.61","224","301","42.67","16","27","37.21","18.93","28.17","40.19","185","271","40.57","82","103","44.32","6","13","31.58","103","168","38.01","5","4","55.56","240","410","36.92","5","10","33.33","7.14","91.03","0.982","32","83","118","565","21.33","70","130","239","22.65"
"38","Ian Cole","VAN","D","78","1457.7666666667","1124","1568","41.75","843","1078","43.88","564","762","42.53","60","84","41.67","59.57","74.82","44.33","544","720","43.04","252","291","46.41","36","45","44.44","292","429","40.50","16","22","42.11","583","1031","36.12","7","17","29.17","10.64","88.98","0.996","87","263","349","1217","19.95","250","419","640","28.09"
"723","Alexander Romanov","NYI","D","81","1688.0666666667","1509","2107","41.73","1101","1458","43.02","779","1024","43.21","77","89","46.39","73.7","98.49","42.80","718","1010","41.55","310","405","43.36","42","44","48.84","408","605","40.28","19","26","42.22","842","1216","40.91","15","19","44.12","9.88","91.31","1.012","142","308","277","1347","33.89","404","466","593","40.52"
"575","Mason Shaw","MIN","C","20","163.7","128","179","41.69","94","119","44.13","62","82","43.06","5","5","50.00","4.8","5.39","47.15","50","64","43.86","19","24","44.19","2","4","33.33","31","40","43.66","2","0","100.00","75","115","39.47","1","1","50.00","8.06","93.90","1.020","12","22","23","154","34.29","22","35","44","33.33"
"75","Matt Martin","NYI","L","57","530.81666666667","395","553","41.67","291","365","44.36","195","241","44.72","19","12","61.29","17.98","21.55","45.48","180","229","44.01","80","88","47.62","9","4","69.23","100","141","41.49","5","5","50.00","218","346","38.65","5","3","62.50","9.74","95.02","1.048","73","122","87","506","45.63","118","162","166","41.55"
"586","Jake Leschyshyn","NYR","C","1","6.4666666666667","5","7","41.67","4","3","57.14","2","2","50.00","0","1","0.00","0.14","0.16","47.73","1","4","20.00","1","0","100.00","0","0","-","0","4","0.00","0","1","0.00","4","3","57.14","0","0","-","0.00","50.00","0.500","0","0","0","10","-","0","0","0","-"
"831","Connor Mackey","NYR","D","1","16.45","10","14","41.67","7","11","38.89","4","9","30.77","1","0","100.00","0.46","0.5","47.57","2","4","33.33","0","2","0.00","0","0","-","2","2","50.00","0","0","-","7","12","36.84","0","0","-","25.00","100.00","1.250","2","6","6","8","25.00","3","8","11","21.43"
"31","Jeff Petry","DET","D","73","1372.05","1138","1596","41.62","825","1155","41.67","566","791","41.71","57","82","41.01","50.18","73.03","40.73","527","716","42.40","205","266","43.52","31","40","43.66","322","450","41.71","17","31","35.42","662","998","39.88","9","11","45.00","10.07","89.63","0.997","150","289","245","1077","37.97","342","411","496","40.81"
"377","Louie Belpedio","PHI","D","12","158.43333333333","129","181","41.61","93","117","44.29","70","66","51.47","9","4","69.23","5.1","7.46","40.59","59","87","40.41","22","32","40.74","4","3","57.14","37","55","40.22","2","1","66.67","74","88","45.68","3","0","100.00","12.86","93.94","1.068","18","35","19","144","48.65","42","48","34","55.26"
"70","Marco Scandella","STL","D","65","810.8","610","857","41.58","447","625","41.70","315","450","41.18","28","33","45.90","27.82","43.72","38.89","282","415","40.46","108","197","35.41","14","18","43.75","174","218","44.39","9","8","52.94","341","469","42.10","4","7","36.36","8.89","92.67","1.016","102","140","100","843","50.50","189","212","191","49.74"
"921","James Malatesta","CBJ","L","11","112.38333333333","84","118","41.58","60","91","39.74","40","61","39.60","4","5","44.44","4.07","6.31","39.19","42","61","40.78","17","36","32.08","2","3","40.00","25","25","50.00","2","1","66.67","41","58","41.41","0","1","0.00","10.00","91.80","1.018","13","16","9","98","59.09","22","25","28","44.00"
"332","Ross Johnston","ANA","L","68","557.4","402","567","41.49","293","407","41.86","194","279","41.01","9","21","30.00","14.05","23.21","37.70","142","259","35.41","62","113","35.43","5","13","27.78","80","146","35.40","3","4","42.86","249","329","43.08","1","4","20.00","4.64","92.47","0.971","93","115","59","539","61.18","133","152","136","49.44"
"400","Jake Middleton","MIN","D","80","1582.7833333333","1294","1827","41.46","924","1287","41.79","644","895","41.85","57","94","37.75","55.15","80.97","40.51","589","838","41.28","238","308","43.59","29","44","39.73","351","530","39.84","18","33","35.29","746","1192","38.49","6","17","26.09","8.85","89.50","0.983","166","338","297","1112","35.85","404","505","661","37.93"
