Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Bo Horvat,VAN,C,29,2013,VAN,1,9,9
Bobby Brink,PHI,R,22,2019,PHI,2,3,34
Bokondji Imama,ARI,L,27,2015,T.B,6,29,180
Boone Jenner,CBJ,C,31,2011,CBJ,2,7,37
Boris Katchouk,"CHI, T.B",L,25,2016,T.B,2,14,44
Bowen Byram,COL,D,23,2019,COL,1,4,4
Brad Hunt,VAN,D,35,-,-,-,-,-
Brad Malone,EDM,C,35,2007,COL,4,14,105
Brad Marchand,BOS,L,36,2006,BOS,3,8,71
Brad Richardson,"CGY, VAN",R,39,2003,COL,5,27,163
Braden Schneider,NYR,D,22,2020,NYR,1,19,19
Brady Skjei,CAR,D,30,2012,NYR,1,28,28
Brady Tkachuk,OTT,L,24,2018,OTT,1,4,4
Brandon Baddock,MTL,L,29,2014,N.J,6,11,161
Brandon Biro,BUF,L,26,-,-,-,-,-
Brandon Carlo,BOS,D,27,2015,BOS,2,7,37
Brandon Duhaime,MIN,R,27,2016,MIN,4,15,106
Brandon Hagel,"CHI, T.B",L,25,2016,BUF,6,8,159
Brandon Montour,FLA,D,30,2014,ANA,2,25,55
Brandon Saad,STL,L,31,2011,CHI,2,13,43
Brandon Tanev,SEA,L,32,-,-,-,-,-
Brayden McNabb,VGK,D,33,2009,BUF,3,5,66
Brayden Pachal,VGK,D,24,-,-,-,-,-
Brayden Point,T.B,C,28,2014,T.B,3,19,79
Brayden Schenn,STL,C,32,2009,L.A,1,5,5
Brayden Tracey,ANA,L,23,2019,ANA,1,29,29
Brendan Gallagher,MTL,R,32,2010,MTL,5,27,147
Brendan Gaunce,CBJ,C,30,2012,VAN,1,26,26
Brendan Guhle,ANA,D,26,2015,BUF,2,21,51
Brendan Lemieux,L.A,L,28,2014,BUF,2,1,31
Brendan Perlini,EDM,L,28,2014,ARI,1,12,12
Brendan Smith,CAR,D,35,2007,DET,1,27,27
Brenden Dillon,WPG,D,33,-,-,-,-,-
Brent Burns,S.J,D,39,2003,MIN,1,20,20
Brett Connolly,CHI,R,32,2010,T.B,1,6,6
Brett Howden,VGK,C,26,2016,T.B,1,27,27
Brett Kulak,"EDM, MTL",D,30,2012,CGY,4,14,105
Brett Leason,WSH,R,25,2019,WSH,2,25,56
Brett Murray,BUF,L,25,2016,BUF,4,8,99
Brett Pesce,CAR,D,29,2013,CAR,3,5,66
Brett Ritchie,CGY,R,30,2011,DAL,2,14,44
Brett Seney,TOR,L,28,2015,N.J,6,6,157
Brian Boyle,PIT,C,39,2003,L.A,1,26,26
Brian Dumoulin,PIT,D,32,2009,CAR,2,21,51
Brock Boeser,VAN,R,27,2015,VAN,1,23,23
Brock McGinn,PIT,L,30,2012,CAR,2,17,47
Brock Nelson,NYI,C,32,2010,NYI,1,30,30
Bryan Rust,PIT,R,32,2010,PIT,3,20,80
Bryce Kindopp,ANA,R,25,-,-,-,-,-
Buddy Robinson,ANA,R,32,-,-,-,-,-
C.J. Smith,CAR,L,29,-,-,-,-,-
Cal Clutterbuck,NYI,R,36,2006,MIN,3,9,72
Cal Foote,T.B,D,25,2017,T.B,1,14,14
Cale Fleury,SEA,D,25,2017,MTL,3,25,87
Cale Makar,COL,D,25,2017,COL,1,4,4
