Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
John Tavares,TOR,C,33,2009,NYI,1,1,1
Johnathan Kovacevic,WPG,D,26,2017,WPG,3,12,74
Johnny Gaudreau,CGY,L,30,2011,CGY,4,13,104
Jon Lizotte,MIN,D,29,-,-,-,-,-
Jon Merrill,MIN,D,32,2010,N.J,2,8,38
Jonah Gadjovich,S.J,L,25,2017,VAN,2,24,55
Jonas Brodin,MIN,D,30,2011,MIN,1,10,10
Jonas Rondbjerg,VGK,R,25,2017,VGK,3,3,65
Jonas Siegenthaler,N.J,D,27,2015,WSH,2,27,57
Jonathan Dahlen,S.J,C,26,2016,OTT,2,12,42
Jonathan Drouin,MTL,L,29,2013,T.B,1,3,3
Jonathan Huberdeau,FLA,"C, L",31,2011,FLA,1,3,3
Jonathan Marchessault,VGK,C,33,-,-,-,-,-
Jonathan Toews,CHI,C,36,2006,CHI,1,3,3
Jonny Brodzinski,NYR,C,30,2013,L.A,5,27,148
Joonas Donskoi,SEA,R,32,2010,FLA,4,9,99
Jordan Eberle,SEA,"C, R",34,2008,EDM,1,22,22
Jordan Greenway,MIN,L,27,2015,MIN,2,20,50
Jordan Gross,COL,D,29,-,-,-,-,-
Jordan Harris,MTL,D,23,2018,MTL,3,9,71
Jordan Kyrou,STL,C,26,2016,STL,2,5,35
Jordan Martinook,CAR,L,31,2012,PHX,2,28,58
Jordan Oesterle,DET,D,31,-,-,-,-,-
Jordan Spence,L.A,D,23,2019,L.A,4,2,95
Jordan Staal,CAR,C,35,2006,PIT,1,2,2
Jordie Benn,MIN,D,36,-,-,-,-,-
Joseph Cramarossa,MIN,C,31,2011,ANA,3,4,65
Josh Anderson,MTL,R,30,2012,CBJ,4,4,95
Josh Archibald,EDM,R,31,2011,PIT,6,23,174
Josh Bailey,NYI,"C, R",34,2008,NYI,1,9,9
Josh Brown,"BOS, OTT",D,30,2013,FLA,6,1,152
Josh Leivo,CAR,L,31,2011,TOR,3,25,86
Josh Mahura,ANA,D,26,2016,ANA,3,24,85
Josh Manson,"ANA, COL",D,32,2011,ANA,6,9,160
Josh Morrissey,WPG,D,29,2013,WPG,1,13,13
Josh Norris,OTT,C,25,2017,S.J,1,19,19
Josiah Slavin,CHI,L,25,2018,CHI,7,7,193
Juho Lammikko,VAN,L,28,2014,FLA,3,5,65
Jujhar Khaira,CHI,L,29,2012,EDM,3,2,63
Julien Gauthier,NYR,R,26,2016,CAR,1,21,21
Justin Bailey,VAN,R,28,2013,BUF,2,22,52
Justin Barron,"COL, MTL",D,22,2020,COL,1,25,25
Justin Braun,"NYR, PHI",D,37,2007,S.J,7,20,201
Justin Danforth,CBJ,R,31,-,-,-,-,-
Justin Dowling,VAN,C,33,-,-,-,-,-
Justin Faulk,STL,D,32,2010,CAR,2,7,37
Justin Holl,TOR,D,32,2010,CHI,2,24,54
Justin Schultz,WSH,D,33,2008,ANA,2,13,43
Juuso Riikola,PIT,D,30,-,-,-,-,-
Juuso Valimaki,CGY,D,25,2017,CGY,1,16,16
K'Andre Miller,NYR,D,24,2018,NYR,1,22,22
Kaapo Kakko,NYR,R,23,2019,NYR,1,2,2
Kaedan Korczak,VGK,D,23,2019,VGK,2,10,41
Kailer Yamamoto,EDM,R,25,2017,EDM,1,22,22
Kale Clague,"L.A, MTL",D,26,2016,L.A,2,21,51
Karson Kuhlman,"BOS, SEA",C,28,-,-,-,-,-
Kasper Bjorkqvist,PIT,R,26,2016,PIT,2,31,61
Kasperi Kapanen,PIT,R,27,2014,PIT,1,22,22
Keegan Kolesar,VGK,R,27,2015,CBJ,3,8,69
Keith Yandle,PHI,D,37,2005,PHX,4,14,105
Kent Johnson,CBJ,C,21,2021,CBJ,1,5,5
Kevin Bahl,N.J,D,23,-,-,-,-,-
Kevin Connauton,"FLA, PHI",D,34,2009,VAN,3,22,83
Kevin Fiala,MIN,L,27,2014,NSH,1,11,11
Kevin Hayes,PHI,"C, R",32,2010,CHI,1,24,24
Kevin Labanc,S.J,R,28,2014,S.J,6,21,171
Kevin Rooney,NYR,C,31,-,-,-,-,-
Kevin Shattenkirk,ANA,D,35,2007,COL,1,14,14
Kevin Stenlund,CBJ,C,27,2015,CBJ,2,28,58
Kiefer Sherwood,COL,L,29,-,-,-,-,-
Kieffer Bellows,NYI,L,26,2016,NYI,1,19,19
Kirby Dach,CHI,C,23,2019,CHI,1,3,3
Kirill Kaprizov,MIN,L,27,2015,MIN,5,14,135
Kirill Semyonov,TOR,C,29,-,-,-,-,-
Klim Kostin,STL,C,25,2017,STL,1,31,31
Kole Lind,SEA,R,25,2017,VAN,2,2,33
Kole Sherwood,NSH,R,27,-,-,-,-,-
Kris Letang,PIT,D,37,2005,PIT,3,1,62
Kris Russell,EDM,D,37,2005,CBJ,3,6,67
Kristian Reichel,WPG,C,26,-,-,-,-,-
Kristian Vesalainen,WPG,L,25,2017,WPG,1,24,24
Kristians Rubins,TOR,D,26,-,-,-,-,-
Kurtis Gabriel,CHI,R,31,2013,MIN,3,20,81
Kurtis MacDermid,COL,D,30,-,-,-,-,-
Kyle Burroughs,VAN,D,28,2013,NYI,7,15,196
Kyle Capobianco,ARI,D,26,2015,ARI,3,2,63
Kyle Clifford,"STL, TOR",L,33,2009,L.A,2,5,35
Kyle Connor,WPG,L,27,2015,WPG,1,17,17
Kyle Criscuolo,DET,C,32,-,-,-,-,-
Kyle Okposo,BUF,R,36,2006,NYI,1,7,7
Kyle Palmieri,NYI,"C, R",33,2009,ANA,1,26,26
Kyle Rau,MIN,C,31,2011,FLA,3,30,91
Kyle Turris,EDM,C,34,2007,PHX,1,3,3
Lane Pederson,S.J,C,26,-,-,-,-,-
Lars Eller,WSH,C,35,2007,STL,1,13,13
Lassi Thomson,OTT,D,23,2019,OTT,1,19,19
Laurent Dauphin,MTL,C,29,2013,PHX,2,9,39
Lawson Crouse,ARI,L,26,2015,FLA,1,11,11
Leo Komarov,NYI,R,37,2006,TOR,6,27,180
Leon Draisaitl,EDM,C,28,2014,EDM,1,3,3
Liam Foudy,CBJ,C,24,2018,CBJ,1,18,18
Liam O'Brien,ARI,C,29,-,-,-,-,-
Lias Andersson,L.A,C,25,2017,NYR,1,7,7
Libor Hajek,NYR,D,26,2016,T.B,2,7,37
Linus Hogberg,PHI,D,25,2016,PHI,5,18,139
Linus Sandin,PHI,R,28,-,-,-,-,-
Logan Brown,STL,C,26,2016,OTT,1,11,11
Logan Couture,S.J,C,35,2007,S.J,1,9,9
Logan O'Connor,COL,R,27,-,-,-,-,-
Logan Shaw,OTT,R,31,2011,FLA,3,15,76
Logan Stanley,WPG,D,26,2016,WPG,1,18,18
Loui Eriksson,ARI,L,38,2003,DAL,2,3,33
Lucas Carlsson,FLA,D,26,2016,CHI,4,19,110
Lucas Johansen,WSH,D,26,2016,WSH,1,28,28
Lucas Raymond,DET,L,22,2020,DET,1,4,4
Lukas Reichel,CHI,L,22,2020,CHI,1,17,17
Lukas Vejdemo,MTL,C,28,2015,MTL,3,26,87
Luke Glendening,DAL,C,35,-,-,-,-,-
Luke Kunin,NSH,C,26,2016,MIN,1,15,15
Luke Schenn,VAN,D,34,2008,TOR,1,5,5
Luke Witkowski,DET,D,34,2008,T.B,6,9,160
MacKenzie Entwistle,CHI,R,24,2017,ARI,3,7,69
Mackenzie MacEachern,STL,L,30,2012,STL,3,6,67
MacKenzie Weegar,FLA,D,30,2013,FLA,7,25,206
Madison Bowey,VAN,D,29,2013,WSH,2,23,53
Marc McLaughlin,BOS,C,24,-,-,-,-,-
Marc Staal,DET,D,37,2005,NYR,1,12,12
Marc-Edouard Vlasic,S.J,D,37,2005,S.J,2,5,35
Marco Rossi,MIN,C,22,2020,MIN,1,9,9
Marco Scandella,STL,D,34,2008,MIN,2,25,55
Marcus Foligno,MIN,L,32,2009,BUF,4,13,104
Marcus Johansson,"SEA, WSH",L,33,2009,WSH,1,24,24
Marcus Pettersson,PIT,D,28,2014,ANA,2,8,38
Marian Studenic,"DAL, N.J","L, R",25,2017,N.J,5,19,143
Mario Ferraro,S.J,D,25,2017,S.J,2,18,49
Mark Borowiecki,NSH,D,34,2008,OTT,5,18,139
Mark Friedman,PIT,D,28,2014,PHI,3,26,86
Mark Giordano,"SEA, TOR",D,40,-,-,-,-,-
Mark Jankowski,BUF,C,29,2012,CGY,1,21,21
Mark Kastelic,OTT,C,25,2019,OTT,5,1,125
Mark Pysyk,BUF,D,32,2010,BUF,1,23,23
Mark Scheifele,WPG,C,31,2011,WPG,1,7,7
Mark Stone,VGK,R,32,2010,OTT,6,28,178
Markus Niemelainen,EDM,D,26,2016,EDM,3,2,63
Markus Nutivaara,FLA,D,30,2015,CBJ,7,8,189
Martin Fehervary,WSH,D,24,2018,WSH,2,15,46
Martin Frk,L.A,R,30,2012,DET,2,19,49
Martin Kaut,COL,R,24,2018,COL,1,16,16
Martin Necas,CAR,C,25,2017,CAR,1,12,12
Mason Appleton,"SEA, WPG",C,28,2015,WPG,6,17,168
Mason Geertsen,N.J,D,29,2013,COL,4,2,93
Mason Marchment,FLA,L,28,-,-,-,-,-
Mason McTavish,ANA,C,21,2021,ANA,1,3,3
Mason Shaw,MIN,C,25,2017,MIN,4,4,97
Mathew Barzal,NYI,C,27,2015,NYI,1,16,16
Mathieu Joseph,"OTT, T.B",R,27,2015,T.B,4,29,120
Mathieu Olivier,NSH,R,27,-,-,-,-,-
Mathieu Perreault,MTL,C,36,2006,WSH,6,24,177
Matias Maccelli,ARI,L,23,2019,ARI,4,5,98
Mats Zuccarello,MIN,"C, R",36,-,-,-,-,-
Matt Boldy,MIN,L,23,2019,MIN,1,12,12
Matt Duchene,NSH,C,33,2009,COL,1,3,3
Matt Dumba,MIN,D,29,2012,MIN,1,7,7
Matt Grzelcyk,BOS,D,30,2012,BOS,3,24,85
Matt Irwin,WSH,D,36,-,-,-,-,-
Matt Kiersted,FLA,D,26,-,-,-,-,-
Matt Luff,NSH,R,27,-,-,-,-,-
Matt Martin,NYI,L,35,2008,NYI,5,27,148
Matt Nieto,S.J,L,31,2011,S.J,2,17,47
Matt Roy,L.A,D,29,2015,L.A,7,13,194
Matt Tennyson,NSH,D,34,-,-,-,-,-
Matthew Benning,NSH,D,30,2012,BOS,6,24,175
Matthew Highmore,VAN,C,28,-,-,-,-,-
Matthew Peca,STL,C,31,2011,T.B,7,20,201
Matthew Tkachuk,CGY,L,26,2016,CGY,1,6,6
Mattias Ekholm,NSH,D,34,2009,NSH,4,11,102
Mattias Janmark,VGK,C,31,2013,DET,3,18,79
Mattias Norlinder,MTL,D,24,2019,MTL,3,2,64
Mattias Samuelsson,BUF,D,24,2018,BUF,2,1,32
Matty Beniers,SEA,C,21,2021,SEA,1,2,2
Max Comtois,ANA,L,25,2017,ANA,2,19,50
Max Domi,"CAR, CBJ",C,29,2013,PHX,1,12,12
Max Jones,ANA,L,26,2016,ANA,1,24,24
Max McCormick,SEA,L,32,2011,OTT,6,20,171
Max Pacioretty,VGK,L,35,2007,MTL,1,22,22
Max Willman,PHI,C,29,2014,BUF,5,1,121
Maxim Mamin,FLA,C,29,2016,FLA,6,24,175
Maxime Lajoie,CAR,D,26,2016,OTT,5,12,133
Michael Amadio,"TOR, VGK",C,28,2014,L.A,3,30,90
Michael Bunting,TOR,L,28,2014,ARI,4,27,117
Michael Carcone,ARI,L,28,-,-,-,-,-
Michael Dal Colle,NYI,L,27,2014,NYI,1,5,5
Michael Del Zotto,OTT,D,33,2008,NYR,1,20,20
Michael Eyssimont,WPG,C,27,2016,L.A,5,21,142
Michael McCarron,NSH,R,29,2013,MTL,1,25,25
Michael McLeod,N.J,C,26,2016,N.J,1,12,12
Michael Pezzetta,MTL,L,26,2016,MTL,6,9,160
Michael Raffl,DAL,L,35,-,-,-,-,-
Michael Rasmussen,DET,C,25,2017,DET,1,9,9
Michael Sgarbossa,WSH,C,31,-,-,-,-,-
Michael Stone,CGY,D,34,2008,PHX,3,8,69
Michal Kempny,WSH,D,33,-,-,-,-,-
Mika Zibanejad,NYR,C,31,2011,OTT,1,6,6
Mikael Backlund,CGY,C,35,2007,CGY,1,24,24
Mikael Granlund,NSH,C,32,2010,MIN,1,9,9
Mike Hardman,CHI,L,25,-,-,-,-,-
Mike Hoffman,MTL,C,34,2009,OTT,5,9,130
Mike Matheson,PIT,D,30,2012,FLA,1,23,23
Mike Reilly,BOS,D,30,2011,CBJ,4,7,98
Mike Vecchione,WSH,R,31,-,-,-,-,-
Mikey Anderson,L.A,D,25,2017,L.A,4,10,103
Mikhail Maltsev,COL,L,26,2016,N.J,4,11,102
Mikhail Sergachev,T.B,D,25,2016,MTL,1,9,9
Mikko Rantanen,COL,R,27,2015,COL,1,10,10
Milan Lucic,CGY,L,36,2006,BOS,2,20,50
Miles Wood,N.J,L,28,2013,N.J,4,9,100
Miro Heiskanen,DAL,D,24,2017,DAL,1,3,3
Mitchell Chaffee,MIN,R,26,-,-,-,-,-
Mitchell Marner,TOR,"C, R",27,2015,TOR,1,4,4
Mitchell Stephens,DET,C,27,2015,T.B,2,3,33
Morgan Barron,"NYR, WPG",C,25,2017,NYR,6,19,174
Morgan Frost,PHI,C,25,2017,PHI,1,27,27
Morgan Geekie,SEA,C,25,2017,CAR,3,5,67
Morgan Rielly,TOR,D,30,2012,TOR,1,5,5
Moritz Seider,DET,D,23,2019,DET,1,6,6
Nate Schmidt,WPG,D,32,-,-,-,-,-
Nate Thompson,PHI,C,39,2003,BOS,6,16,183
Nathan Bastian,"N.J, SEA",R,26,2016,N.J,2,11,41
Nathan Beaulieu,WPG,D,31,2011,MTL,1,17,17
Nathan MacKinnon,COL,C,28,2013,COL,1,1,1
Nathan Smith,ARI,C,25,2018,WPG,3,29,91
Nathan Walker,STL,L,30,2014,WSH,3,29,89
Nazem Kadri,COL,C,33,2009,TOR,1,7,7
Neal Pionk,WPG,D,28,-,-,-,-,-
Nic Dowd,WSH,C,34,2009,L.A,7,17,198
Nic Petan,VAN,C,29,2013,WPG,2,13,43
Nicholas Abruzzese,TOR,C,25,2019,TOR,4,31,124
Nicholas Paul,"OTT, T.B",L,29,2013,DAL,4,10,101
Nicholas Robertson,TOR,L,22,2019,TOR,2,22,53
Nick Bjugstad,MIN,C,31,2010,FLA,1,19,19
Nick Blankenburg,CBJ,D,26,-,-,-,-,-
Nick Bonino,S.J,C,36,2007,S.J,6,22,173
Nick Cousins,NSH,C,30,2011,PHI,3,7,68
Nick Foligno,BOS,L,36,2006,OTT,1,28,28
Nick Holden,OTT,D,37,-,-,-,-,-
Nick Jensen,WSH,D,33,2009,DET,5,29,150
Nick Leddy,"DET, STL",D,33,2009,MIN,1,16,16
Nick Merkley,S.J,R,27,2015,ARI,1,30,30
Nick Ritchie,"ARI, TOR",L,28,2014,ANA,1,10,10
Nick Schmaltz,ARI,C,28,2014,CHI,1,20,20
Nick Seeler,PHI,D,31,2011,MIN,5,10,131
Nick Suzuki,MTL,C,24,2017,VGK,1,13,13
Nicklas Backstrom,WSH,C,36,2006,WSH,1,4,4
Nico Hischier,N.J,C,25,2017,N.J,1,1,1
Nico Sturm,"COL, MIN",C,29,-,-,-,-,-
Nicolas Aube-Kubel,"COL, PHI",R,28,2014,PHI,2,18,48
Nicolas Beaudin,CHI,D,24,2018,CHI,1,27,27
Nicolas Deslauriers,"ANA, MIN",L,33,2009,L.A,3,23,84
Nicolas Hague,VGK,D,25,2017,VGK,2,3,34
Nicolas Meloche,S.J,D,26,2015,COL,2,10,40
Nicolas Roy,VGK,C,27,2015,CAR,4,5,96
Nikita Kucherov,T.B,R,30,2011,T.B,2,28,58
Nikita Okhotiuk,N.J,D,23,2019,N.J,2,30,61
Nikita Zadorov,CGY,D,29,2013,BUF,1,16,16
Nikita Zaitsev,OTT,D,32,-,-,-,-,-
Niko Mikkola,STL,D,28,2015,STL,5,6,127
Nikolaj Ehlers,WPG,L,28,2014,WPG,1,9,9
Nils Hoglander,VAN,L,23,2019,VAN,2,9,40
Nils Lundkvist,NYR,D,23,2018,NYR,1,28,28
Nino Niederreiter,CAR,R,31,2010,NYI,1,5,5
Noah Cates,PHI,L,25,2017,PHI,5,13,137
Noah Dobson,NYI,D,24,2018,NYI,1,12,12
Noah Gregor,S.J,C,25,2016,S.J,4,20,111
Noah Hanifin,CGY,D,27,2015,CAR,1,5,5
Noah Juulsen,VAN,D,27,2015,MTL,1,26,26
Noel Acciari,FLA,C,32,-,-,-,-,-
Nolan Foote,N.J,L,23,2019,T.B,1,27,27
Nolan Patrick,VGK,C,25,2017,PHI,1,2,2
Oliver Bjorkstrand,CBJ,R,29,2013,CBJ,3,28,89
Oliver Ekman-Larsson,VAN,D,32,2009,PHX,1,6,6
Oliver Kylington,CGY,D,27,2015,CGY,2,30,60
Oliver Wahlstrom,NYI,R,24,2018,NYI,1,11,11
Olli Juolevi,"DET, FLA",D,26,2016,VAN,1,5,5
Olli Maatta,L.A,D,29,2012,PIT,1,22,22
Ondrej Kase,TOR,R,28,2014,ANA,7,25,205
Ondrej Palat,T.B,L,33,2011,T.B,7,27,208
Oskar Lindblom,PHI,L,27,2014,PHI,5,18,138
Oskar Steen,BOS,C,26,2016,BOS,6,14,165
Oskar Sundqvist,"DET, STL",C,30,2012,PIT,3,20,81
Otto Koivula,NYI,L,25,2016,NYI,4,29,120
Owen Power,BUF,D,21,2021,BUF,1,1,1
Owen Tippett,"FLA, PHI",R,25,2017,FLA,1,10,10
P.K. Subban,N.J,D,35,2007,MTL,2,13,43
Parker Kelly,OTT,"C, L",25,-,-,-,-,-
Pat Maroon,T.B,L,36,2007,PHI,6,10,161
Patric Hornqvist,FLA,R,37,2005,NSH,7,36,230
Patrice Bergeron,BOS,C,38,2003,BOS,2,15,45
Patrick Brown,PHI,C,32,-,-,-,-,-
Patrick Kane,CHI,R,35,2007,CHI,1,1,1
Patrik Laine,CBJ,L,26,2016,WPG,1,2,2
Patrik Nemeth,NYR,D,32,2010,DAL,2,11,41
Paul Byron,MTL,L,35,2007,BUF,6,28,179
Paul Cotter,VGK,C,24,2018,VGK,4,22,115
Paul LaDue,NYI,D,31,2012,L.A,6,30,181
Paul Stastny,WPG,C,38,2005,COL,2,14,44
Pavel Buchnevich,STL,L,29,2013,NYR,3,14,75
Pavel Dorofeyev,VGK,L,23,2019,VGK,3,17,79
Pavel Zacha,N.J,C,27,2015,N.J,1,6,6
Petteri Lindbohm,FLA,D,30,2012,STL,6,25,176
Peyton Krebs,"BUF, VGK",C,23,2019,VGK,1,17,17
Phil Kessel,ARI,"C, R",36,2006,BOS,1,5,5
Philip Broberg,EDM,D,22,2019,EDM,1,8,8
Philip Tomasino,NSH,C,22,2019,NSH,1,24,24
Philipp Kurashev,CHI,C,24,2018,CHI,4,27,120
Philippe Myers,NSH,D,27,-,-,-,-,-
Phillip Danault,L.A,"C, L",31,2011,CHI,1,26,26
Pierre Engvall,TOR,L,28,2014,TOR,7,8,188
Pierre-Edouard Bellemare,T.B,L,39,-,-,-,-,-
Pierre-Luc Dubois,WPG,L,25,2016,CBJ,1,3,3
Pierre-Olivier Joseph,PIT,D,24,2017,ARI,1,23,23
Pius Suter,DET,C,28,-,-,-,-,-
Quinn Hughes,VAN,D,24,2018,VAN,1,7,7
Quinton Byfield,L.A,C,21,2020,L.A,1,2,2
Radek Faksa,DAL,C,30,2012,DAL,1,13,13
Radim Simek,S.J,D,31,-,-,-,-,-
Radim Zohorna,PIT,L,28,-,-,-,-,-
Radko Gudas,FLA,D,34,2010,T.B,3,6,66
Rafael Harvey-Pinard,MTL,L,25,2019,MTL,7,15,201
Rasmus Andersson,CGY,D,27,2015,CGY,2,23,53
Rasmus Asplund,BUF,C,26,2016,BUF,2,3,33
Rasmus Dahlin,BUF,D,24,2018,BUF,1,1,1
Rasmus Kupari,L.A,C,24,2018,L.A,1,20,20
Rasmus Ristolainen,PHI,D,29,2013,BUF,1,8,8
Rasmus Sandin,TOR,D,24,2018,TOR,1,29,29
Reese Johnson,CHI,C,25,-,-,-,-,-
Reilly Smith,VGK,R,33,2009,DAL,3,8,69
Reilly Walsh,N.J,D,25,2017,N.J,3,19,81
Rem Pitlick,"MIN, MTL",C,27,2016,NSH,3,15,76
Remi Elie,T.B,L,29,2013,DAL,2,10,40
Rhett Gardner,DAL,C,28,2016,DAL,4,25,116
Richard Panik,NYI,R,33,2009,T.B,2,22,52
Rickard Rakell,"ANA, PIT","L, R",31,2011,ANA,1,30,30
Riley Barber,DET,R,30,2012,WSH,6,16,167
Riley Damiani,DAL,C,24,2018,DAL,5,13,137
Riley Nash,"ARI, T.B, WPG",C,35,2007,EDM,1,21,21
Riley Sheahan,SEA,C,32,2010,DET,1,21,21
Riley Stillman,CHI,D,26,2016,FLA,4,23,114
Riley Tufte,DAL,L,26,2016,DAL,1,25,25
Robby Fabbri,DET,C,28,2014,STL,1,21,21
Robert Bortuzzo,STL,D,35,2007,PIT,3,17,78
Robert Hagg,"BUF, FLA",D,29,2013,PHI,2,11,41
Robert Thomas,STL,C,24,2017,STL,1,20,20
Robin Salo,NYI,D,25,2017,NYI,2,15,46
Rocco Grimaldi,NSH,R,31,2011,FLA,2,3,33
Roman Josi,NSH,D,34,2008,NSH,2,8,38
Ronnie Attard,PHI,D,25,2019,PHI,3,10,72
Roope Hintz,DAL,"C, L",27,2015,DAL,2,19,49
Ross Colton,T.B,C,27,2016,T.B,4,27,118
Ross Johnston,NYI,L,30,-,-,-,-,-
Rudolfs Balcers,S.J,L,27,2015,S.J,5,21,142
Ryan Carpenter,"CGY, CHI",C,33,-,-,-,-,-
Ryan Donato,SEA,C,28,2014,BOS,2,26,56
Ryan Dzingel,"ARI, S.J",C,32,2011,OTT,7,23,204
Ryan Ellis,PHI,D,33,2009,NSH,1,11,11
Ryan Getzlaf,ANA,C,39,2003,ANA,1,19,19
Ryan Graves,N.J,D,29,2013,NYR,4,19,110
Ryan Hartman,MIN,R,29,2013,CHI,1,30,30
Ryan Johansen,NSH,C,31,2010,CBJ,1,4,4
Ryan Lindgren,NYR,D,26,2016,BOS,2,19,49
Ryan Lomberg,FLA,L,29,-,-,-,-,-
Ryan MacInnis,BUF,C,28,2014,ARI,2,13,43
Ryan McDonagh,T.B,D,35,2007,MTL,1,12,12
Ryan McLeod,EDM,C,24,2018,EDM,2,9,40
Ryan Merkley,S.J,D,23,2018,S.J,1,21,21
Ryan Murray,COL,D,30,2012,CBJ,1,2,2
Ryan Nugent-Hopkins,EDM,C,31,2011,EDM,1,1,1
Ryan O'Reilly,STL,C,33,2009,COL,2,3,33
Ryan Poehling,MTL,C,25,2017,MTL,1,25,25
Ryan Pulock,NYI,D,29,2013,NYI,1,15,15
Ryan Reaves,NYR,R,37,2005,STL,5,31,156
Ryan Strome,NYR,C,30,2011,NYI,1,5,5
Ryan Suter,DAL,D,39,2003,NSH,1,7,7
Sam Bennett,FLA,C,27,2014,CGY,1,4,4
Sam Carrick,ANA,C,32,2010,TOR,5,24,144
Sam Gagner,DET,C,34,2007,EDM,1,6,6
Sam Lafferty,"CHI, PIT","C, R",29,2014,PIT,4,23,113
Sam Reinhart,FLA,C,28,2014,BUF,1,2,2
Sam Steel,ANA,C,26,2016,ANA,1,30,30
Sami Niku,MTL,D,27,2015,WPG,7,17,198
Sammy Blais,NYR,L,27,2014,STL,6,26,176
Sampo Ranta,COL,L,24,2018,COL,3,16,78
Samuel Fagemo,L.A,L,24,2019,L.A,2,19,50
Samuel Girard,COL,D,26,2016,NSH,2,17,47
Santeri Hatakka,S.J,D,23,2019,S.J,6,29,184
Sasha Chmelevski,S.J,C,25,2017,S.J,6,30,185
Scott Harrington,CBJ,D,31,2011,PIT,2,24,54
Scott Laughton,PHI,C,30,2012,PHI,1,20,20
Scott Mayfield,NYI,D,31,2011,NYI,2,4,34
Scott Perunovich,STL,D,25,2018,STL,2,14,45
Scott Reedy,S.J,C,25,2017,S.J,4,9,102
Scott Sabourin,OTT,R,31,-,-,-,-,-
Sean Couturier,PHI,C,31,2011,PHI,1,8,8
Sean Day,T.B,D,26,2016,NYR,3,20,81
Sean Durzi,L.A,D,25,2018,TOR,2,21,52
Sean Kuraly,CBJ,C,31,2011,S.J,5,12,133
Sean Monahan,CGY,C,29,2013,CGY,1,6,6
Sean Walker,L.A,D,29,-,-,-,-,-
Sebastian Aho,CAR,"C, R",26,2015,CAR,2,5,35
Sebastian Aho,NYI,D,28,2017,NYI,5,15,139
Seth Griffith,EDM,C,31,2012,BOS,5,10,131
Seth Jarvis,CAR,C,22,2020,CAR,1,13,13
Seth Jones,CHI,D,29,2013,NSH,1,4,4
Shane Pinto,OTT,C,23,2019,OTT,2,1,32
Shayne Gostisbehere,ARI,D,31,2012,PHI,3,17,78
Shea Theodore,VGK,D,28,2013,ANA,1,26,26
Sheldon Dries,VAN,C,30,-,-,-,-,-
Sheldon Rempal,VAN,R,28,-,-,-,-,-
Sidney Crosby,PIT,C,36,2005,PIT,1,1,1
Simon Benoit,ANA,D,25,-,-,-,-,-
Slater Koekkoek,EDM,D,30,2012,T.B,1,10,10
Sonny Milano,ANA,L,28,2014,CBJ,1,16,16
Stefan Matteau,COL,C,30,2012,N.J,1,29,29
Stefan Noesen,CAR,R,31,2011,OTT,1,21,21
Steven Fogarty,BOS,C,31,2011,NYR,3,11,72
Steven Lorentz,CAR,C,28,2015,CAR,7,5,186
Steven Stamkos,T.B,C,34,2008,T.B,1,1,1
Sven Baertschi,VGK,L,31,2011,CGY,1,13,13
T.J. Oshie,WSH,R,37,2005,STL,1,24,24
T.J. Tynan,L.A,C,32,2011,CBJ,3,5,66
Tage Thompson,BUF,R,26,2016,STL,1,26,26
Tanner Jeannot,NSH,L,27,-,-,-,-,-
Tanner Kero,DAL,C,31,-,-,-,-,-
Tanner Laczynski,PHI,C,27,2016,PHI,6,18,169
Tanner Pearson,VAN,L,31,2012,L.A,1,30,30
Taro Hirose,DET,L,27,-,-,-,-,-
Taylor Hall,BOS,L,32,2010,EDM,1,1,1
Taylor Raddysh,"CHI, T.B",R,26,2016,T.B,2,28,58
Teddy Blueger,PIT,C,29,2012,PIT,2,22,52
Teuvo Teravainen,CAR,L,29,2012,CHI,1,18,18
Thomas Bordeleau,S.J,C,22,2020,S.J,2,7,38
Thomas Chabot,OTT,D,27,2015,OTT,1,18,18
Thomas Harley,DAL,D,22,2019,DAL,1,18,18
Thomas Hickey,NYI,D,35,2007,L.A,1,4,4
Thomas Novak,NSH,C,27,2015,NSH,3,24,85
Tim Gettinger,NYR,L,26,2016,NYR,5,20,141
Tim Stützle,OTT,L,22,2020,OTT,1,3,3
Timo Meier,S.J,R,27,2015,S.J,1,9,9
Timothy Liljegren,TOR,D,25,2017,TOR,1,17,17
TJ Brodie,TOR,D,34,2008,CGY,4,23,114
Tobias Bjornfot,L.A,D,23,2019,L.A,1,22,22
Tom Wilson,WSH,R,30,2012,WSH,1,16,16
Tomas Hertl,S.J,C,30,2012,S.J,1,17,17
Tomas Nosek,BOS,L,31,-,-,-,-,-
Tomas Tatar,N.J,L,33,2009,DET,2,30,60
Tony DeAngelo,CAR,D,28,2014,T.B,1,19,19
Torey Krug,STL,D,33,-,-,-,-,-
Travis Boyd,ARI,C,30,2011,WSH,6,26,177
Travis Dermott,"TOR, VAN",D,27,2015,TOR,2,4,34
Travis Hamonic,"OTT, VAN",D,33,2008,NYI,2,23,53
Travis Konecny,PHI,"C, R",27,2015,PHI,1,24,24
Travis Sanheim,PHI,D,28,2014,PHI,1,17,17
Trent Frederic,BOS,C,26,2016,BOS,1,29,29
Trevor Lewis,CGY,C,37,2006,L.A,1,17,17
Trevor Moore,L.A,C,29,-,-,-,-,-
Trevor van Riemsdyk,WSH,D,32,-,-,-,-,-
Trevor Zegras,ANA,C,23,2019,ANA,1,9,9
