team_id,team_name,tri_code,player_id,headshot,player_name,sweaterNumber,positionCode
1,New Jersey Devils,NJD,8479414.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8479414.png,Nathan Bastian,14,R
1,New Jersey Devils,NJD,8479407.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8479407.png,Jesper Bratt,63,L
1,New Jersey Devils,NJD,8481518.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481518.png,Erik Haula,29,L
1,New Jersey Devils,NJD,8475287.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8475287.png,Nico Hischier,56,L
1,New Jersey Devils,NJD,8480002.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8480002.png,Jack Hughes,13,C
1,New Jersey Devils,NJD,8481559.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481559.png,Curtis Lazar,86,C
1,New Jersey Devils,NJD,8477508.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8477508.png,Kurtis MacDermid,42,C
1,New Jersey Devils,NJD,8477073.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8477073.png,Timo Meier,23,L
1,New Jersey Devils,NJD,8478414.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8478414.png,Dawson Mercer,28,R
1,New Jersey Devils,NJD,8482110.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8482110.png,Ondrej Palat,91,C
1,New Jersey Devils,NJD,8480084.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8480084.png,Nick DeSimone,57,D
1,New Jersey Devils,NJD,8476462.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8476462.png,Dougie Hamilton,7,D
1,New Jersey Devils,NJD,8482684.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8482684.png,Luke Hughes,43,D
1,New Jersey Devils,NJD,8483495.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8483495.png,Jonas Siegenthaler,17,D
1,New Jersey Devils,NJD,8474596.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8474596.png,Jake Allen,34,G
1,New Jersey Devils,NJD,8474593.0,https://assets.nhle.com/mugs/nhl/20232024/NJD/8474593.png,Jacob Markstrom,25,G
2,New York Islanders,NYI,8478445.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8478445.png,Mathew Barzal,13,C
2,New York Islanders,NYI,8475231.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475231.png,Casey Cizikas,53,C
2,New York Islanders,NYI,8478115.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8478115.png,Pierre Engvall,18,L
2,New York Islanders,NYI,8477392.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8477392.png,Hudson Fasching,20,R
2,New York Islanders,NYI,8479328.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8479328.png,Julien Gauthier,16,R
2,New York Islanders,NYI,8481601.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481601.png,Simon Holmstrom,10,R
2,New York Islanders,NYI,8477500.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8477500.png,Bo Horvat,14,C
2,New York Islanders,NYI,8481016.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481016.png,Ruslan Iskhakov,37,C
2,New York Islanders,NYI,8475314.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475314.png,Anders Lee,27,L
2,New York Islanders,NYI,8481237.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481237.png,Kyle MacLean,32,C
2,New York Islanders,NYI,8475754.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475754.png,Brock Nelson,29,C
2,New York Islanders,NYI,8476419.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8476419.png,Jean-Gabriel Pageau,44,C
2,New York Islanders,NYI,8475151.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475151.png,Kyle Palmieri,21,C
2,New York Islanders,NYI,8480789.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480789.png,Oliver Wahlstrom,26,R
2,New York Islanders,NYI,8481541.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481541.png,Samuel Bolduc,4,D
2,New York Islanders,NYI,8479395.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8479395.png,Dennis Cholowski,7,D
2,New York Islanders,NYI,8480865.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480865.png,Noah Dobson,8,D
2,New York Islanders,NYI,8476429.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8476429.png,Scott Mayfield,24,D
2,New York Islanders,NYI,8476917.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8476917.png,Adam Pelech,3,D
2,New York Islanders,NYI,8477506.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8477506.png,Ryan Pulock,6,D
2,New York Islanders,NYI,8481014.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481014.png,Alexander Romanov,28,D
2,New York Islanders,NYI,8480819.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480819.png,Jakub Skarek,1,G
2,New York Islanders,NYI,8478009.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8478009.png,Ilya Sorokin,30,G
2,New York Islanders,NYI,8473575.0,https://assets.nhle.com/mugs/nhl/20232024/NYI/8473575.png,Semyon Varlamov,40,G
3,New York Rangers,NYR,8475968.0,https://assets.nhle.com/mugs/nhl/20232024/NYR/8475968.png,Alex Belzile,60,R
