competitor_1,competitor_2,description,start_date,url,event_status,location
Boston Bruins,Minnesota Wild,"Minnesota Wild vs Boston Bruins on December 23, 2023","December 23, 2023",https://www.hockey-reference.com/boxscores/202312230MIN.html,https://schema.org/EventScheduled,Xcel Energy Center
Boston Bruins,Buffalo Sabres,"Buffalo Sabres vs Boston Bruins on December 27, 2023","December 27, 2023",https://www.hockey-reference.com/boxscores/202312270BUF.html,https://schema.org/EventScheduled,KeyBank Center
New Jersey Devils,Boston Bruins,"Boston Bruins vs New Jersey Devils on December 30, 2023","December 30, 2023",https://www.hockey-reference.com/boxscores/202312300BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Detroit Red Wings,"Detroit Red Wings vs Boston Bruins on December 31, 2023","December 31, 2023",https://www.hockey-reference.com/boxscores/202312310DET.html,https://schema.org/EventScheduled,Little Caesars Arena
Boston Bruins,Columbus Blue Jackets,"Columbus Blue Jackets vs Boston Bruins on January 2, 2024","January 2, 2024",https://www.hockey-reference.com/boxscores/202401020CBJ.html,https://schema.org/EventScheduled,Nationwide Arena
Pittsburgh Penguins,Boston Bruins,"Boston Bruins vs Pittsburgh Penguins on January 4, 2024","January 4, 2024",https://www.hockey-reference.com/boxscores/202401040BOS.html,https://schema.org/EventScheduled,TD Garden
Tampa Bay Lightning,Boston Bruins,"Boston Bruins vs Tampa Bay Lightning on January 6, 2024","January 6, 2024",https://www.hockey-reference.com/boxscores/202401060BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Colorado Avalanche,"Colorado Avalanche vs Boston Bruins on January 8, 2024","January 8, 2024",https://www.hockey-reference.com/boxscores/202401080COL.html,https://schema.org/EventScheduled,Ball Arena
Boston Bruins,Arizona Coyotes,"Arizona Coyotes vs Boston Bruins on January 9, 2024","January 9, 2024",https://www.hockey-reference.com/boxscores/202401090ARI.html,https://schema.org/EventScheduled,Mullett Arena
Boston Bruins,Vegas Golden Knights,"Vegas Golden Knights vs Boston Bruins on January 11, 2024","January 11, 2024",https://www.hockey-reference.com/boxscores/202401110VEG.html,https://schema.org/EventScheduled,T-Mobile Arena
Boston Bruins,St. Louis Blues,"St. Louis Blues vs Boston Bruins on January 13, 2024","January 13, 2024",https://www.hockey-reference.com/boxscores/202401130STL.html,https://schema.org/EventScheduled,Enterprise Center
New Jersey Devils,Boston Bruins,"Boston Bruins vs New Jersey Devils on January 15, 2024","January 15, 2024",https://www.hockey-reference.com/boxscores/202401150BOS.html,https://schema.org/EventScheduled,TD Garden
Colorado Avalanche,Boston Bruins,"Boston Bruins vs Colorado Avalanche on January 18, 2024","January 18, 2024",https://www.hockey-reference.com/boxscores/202401180BOS.html,https://schema.org/EventScheduled,TD Garden
Montreal Canadiens,Boston Bruins,"Boston Bruins vs Montreal Canadiens on January 20, 2024","January 20, 2024",https://www.hockey-reference.com/boxscores/202401200BOS.html,https://schema.org/EventScheduled,TD Garden
Winnipeg Jets,Boston Bruins,"Boston Bruins vs Winnipeg Jets on January 22, 2024","January 22, 2024",https://www.hockey-reference.com/boxscores/202401220BOS.html,https://schema.org/EventScheduled,TD Garden
Carolina Hurricanes,Boston Bruins,"Boston Bruins vs Carolina Hurricanes on January 24, 2024","January 24, 2024",https://www.hockey-reference.com/boxscores/202401240BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Ottawa Senators,"Ottawa Senators vs Boston Bruins on January 25, 2024","January 25, 2024",https://www.hockey-reference.com/boxscores/202401250OTT.html,https://schema.org/EventScheduled,Canadian Tire Centre
Boston Bruins,Philadelphia Flyers,"Philadelphia Flyers vs Boston Bruins on January 27, 2024","January 27, 2024",https://www.hockey-reference.com/boxscores/202401270PHI.html,https://schema.org/EventScheduled,Wells Fargo Center
Calgary Flames,Boston Bruins,"Boston Bruins vs Calgary Flames on February 6, 2024","February 6, 2024",https://www.hockey-reference.com/boxscores/202402060BOS.html,https://schema.org/EventScheduled,TD Garden
Vancouver Canucks,Boston Bruins,"Boston Bruins vs Vancouver Canucks on February 8, 2024","February 8, 2024",https://www.hockey-reference.com/boxscores/202402080BOS.html,https://schema.org/EventScheduled,TD Garden
Washington Capitals,Boston Bruins,"Boston Bruins vs Washington Capitals on February 10, 2024","February 10, 2024",https://www.hockey-reference.com/boxscores/202402100BOS.html,https://schema.org/EventScheduled,TD Garden
Tampa Bay Lightning,Boston Bruins,"Boston Bruins vs Tampa Bay Lightning on February 13, 2024","February 13, 2024",https://www.hockey-reference.com/boxscores/202402130BOS.html,https://schema.org/EventScheduled,TD Garden
Seattle Kraken,Boston Bruins,"Boston Bruins vs Seattle Kraken on February 15, 2024","February 15, 2024",https://www.hockey-reference.com/boxscores/202402150BOS.html,https://schema.org/EventScheduled,TD Garden
Los Angeles Kings,Boston Bruins,"Boston Bruins vs Los Angeles Kings on February 17, 2024","February 17, 2024",https://www.hockey-reference.com/boxscores/202402170BOS.html,https://schema.org/EventScheduled,TD Garden
Dallas Stars,Boston Bruins,"Boston Bruins vs Dallas Stars on February 19, 2024","February 19, 2024",https://www.hockey-reference.com/boxscores/202402190BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Edmonton Oilers,"Edmonton Oilers vs Boston Bruins on February 21, 2024","February 21, 2024",https://www.hockey-reference.com/boxscores/202402210EDM.html,https://schema.org/EventScheduled,Rogers Place
Boston Bruins,Calgary Flames,"Calgary Flames vs Boston Bruins on February 22, 2024","February 22, 2024",https://www.hockey-reference.com/boxscores/202402220CGY.html,https://schema.org/EventScheduled,Scotiabank Saddledome
Boston Bruins,Vancouver Canucks,"Vancouver Canucks vs Boston Bruins on February 24, 2024","February 24, 2024",https://www.hockey-reference.com/boxscores/202402240VAN.html,https://schema.org/EventScheduled,Rogers Arena
Boston Bruins,Seattle Kraken,"Seattle Kraken vs Boston Bruins on February 26, 2024","February 26, 2024",https://www.hockey-reference.com/boxscores/202402260SEA.html,https://schema.org/EventScheduled,Climate Pledge Arena
Vegas Golden Knights,Boston Bruins,"Boston Bruins vs Vegas Golden Knights on February 29, 2024","February 29, 2024",https://www.hockey-reference.com/boxscores/202402290BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,New York Islanders,"New York Islanders vs Boston Bruins on March 2, 2024","March 2, 2024",https://www.hockey-reference.com/boxscores/202403020NYI.html,https://schema.org/EventScheduled,UBS Arena
Boston Bruins,Toronto Maple Leafs,"Toronto Maple Leafs vs Boston Bruins on March 4, 2024","March 4, 2024",https://www.hockey-reference.com/boxscores/202403040TOR.html,https://schema.org/EventScheduled,Scotiabank Arena
Edmonton Oilers,Boston Bruins,"Boston Bruins vs Edmonton Oilers on March 5, 2024","March 5, 2024",https://www.hockey-reference.com/boxscores/202403050BOS.html,https://schema.org/EventScheduled,TD Garden
Toronto Maple Leafs,Boston Bruins,"Boston Bruins vs Toronto Maple Leafs on March 7, 2024","March 7, 2024",https://www.hockey-reference.com/boxscores/202403070BOS.html,https://schema.org/EventScheduled,TD Garden
Pittsburgh Penguins,Boston Bruins,"Boston Bruins vs Pittsburgh Penguins on March 9, 2024","March 9, 2024",https://www.hockey-reference.com/boxscores/202403090BOS.html,https://schema.org/EventScheduled,TD Garden
St. Louis Blues,Boston Bruins,"Boston Bruins vs St. Louis Blues on March 11, 2024","March 11, 2024",https://www.hockey-reference.com/boxscores/202403110BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Montreal Canadiens,"Montreal Canadiens vs Boston Bruins on March 14, 2024","March 14, 2024",https://www.hockey-reference.com/boxscores/202403140MTL.html,https://schema.org/EventScheduled,Bell Centre
Philadelphia Flyers,Boston Bruins,"Boston Bruins vs Philadelphia Flyers on March 16, 2024","March 16, 2024",https://www.hockey-reference.com/boxscores/202403160BOS.html,https://schema.org/EventScheduled,TD Garden
Ottawa Senators,Boston Bruins,"Boston Bruins vs Ottawa Senators on March 19, 2024","March 19, 2024",https://www.hockey-reference.com/boxscores/202403190BOS.html,https://schema.org/EventScheduled,TD Garden
New York Rangers,Boston Bruins,"Boston Bruins vs New York Rangers on March 21, 2024","March 21, 2024",https://www.hockey-reference.com/boxscores/202403210BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Philadelphia Flyers,"Philadelphia Flyers vs Boston Bruins on March 23, 2024","March 23, 2024",https://www.hockey-reference.com/boxscores/202403230PHI.html,https://schema.org/EventScheduled,Wells Fargo Center
Boston Bruins,Florida Panthers,"Florida Panthers vs Boston Bruins on March 26, 2024","March 26, 2024",https://www.hockey-reference.com/boxscores/202403260FLA.html,https://schema.org/EventScheduled,Amerant Bank Arena
Boston Bruins,Tampa Bay Lightning,"Tampa Bay Lightning vs Boston Bruins on March 27, 2024","March 27, 2024",https://www.hockey-reference.com/boxscores/202403270TBL.html,https://schema.org/EventScheduled,Amalie Arena
Boston Bruins,Washington Capitals,"Washington Capitals vs Boston Bruins on March 30, 2024","March 30, 2024",https://www.hockey-reference.com/boxscores/202403300WSH.html,https://schema.org/EventScheduled,Capital One Arena
Boston Bruins,Nashville Predators,"Nashville Predators vs Boston Bruins on April 2, 2024","April 2, 2024",https://www.hockey-reference.com/boxscores/202404020NSH.html,https://schema.org/EventScheduled,Bridgestone Arena
Boston Bruins,Carolina Hurricanes,"Carolina Hurricanes vs Boston Bruins on April 4, 2024","April 4, 2024",https://www.hockey-reference.com/boxscores/202404040CAR.html,https://schema.org/EventScheduled,PNC Arena
Florida Panthers,Boston Bruins,"Boston Bruins vs Florida Panthers on April 6, 2024","April 6, 2024",https://www.hockey-reference.com/boxscores/202404060BOS.html,https://schema.org/EventScheduled,TD Garden
Carolina Hurricanes,Boston Bruins,"Boston Bruins vs Carolina Hurricanes on April 9, 2024","April 9, 2024",https://www.hockey-reference.com/boxscores/202404090BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,Pittsburgh Penguins,"Pittsburgh Penguins vs Boston Bruins on April 13, 2024","April 13, 2024",https://www.hockey-reference.com/boxscores/202404130PIT.html,https://schema.org/EventScheduled,PPG Paints Arena
Boston Bruins,Washington Capitals,"Washington Capitals vs Boston Bruins on April 15, 2024","April 15, 2024",https://www.hockey-reference.com/boxscores/202404150WSH.html,https://schema.org/EventScheduled,Capital One Arena
Ottawa Senators,Boston Bruins,"Boston Bruins vs Ottawa Senators on April 16, 2024","April 16, 2024",https://www.hockey-reference.com/boxscores/202404160BOS.html,https://schema.org/EventScheduled,TD Garden
