conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,team
0,0,0,0,2021-03-04,EST,2,4,MassMutual East,8,5,2,22,-3,-0.136364,71,68,3.090909,10,11,27,38,2,0,16,6,5,0,8,10,4,27,31,4,0,12,6,4,0,6,7,15,23,17,9,1,{'default': 'Pittsburgh'},0.568182,25,0.409091,9,0.227273,5,12,-14,44,30,7,1,9,3,0,0,4,20202021,0,3,L,1,"{'default': 'Pittsburgh Penguins', 'fr': 'Penguins de Pittsburgh'}",{'default': 'Penguins'},{'default': 'PIT'},https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,16,0,0.545455,12,Penguins
0,0,0,0,2021-03-04,CEN,4,6,Discover Central,5,5,2,25,-11,-0.44,80,69,2.76,13,1,41,42,4,3,15,5,5,0,6,10,-6,30,24,5,2,8,3,3,0,3,10,25,20,18,10,5,{'default': 'Columbus'},0.5,25,0.36,9,0.36,9,12,-12,39,27,6,2,10,4,4,0,4,20202021,2,1,W,2,"{'default': 'Columbus Blue Jackets', 'fr': 'Blue Jackets de Columbus'}",{'default': 'Blue Jackets'},{'default': 'CBJ'},https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,11,0,0.4,10,Blue Jackets
0,0,0,0,2021-03-04,NTH,6,6,Scotia North,4,5,2,24,-7,-0.291667,73,66,2.75,9,6,25,31,4,0,10,5,5,0,5,10,-10,36,26,5,1,9,4,3,0,4,23,23,14,19,11,2,{'default': 'Calgary'},0.5,24,0.416667,10,0.375,9,15,-13,48,35,7,2,14,5,4,0,6,20202021,0,1,W,1,"{'default': 'Calgary Flames', 'fr': 'Flames de Calgary'}",{'default': 'Flames'},{'default': 'CGY'},https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,12,0,0.458333,11,Flames
0,0,0,0,2021-03-04,WST,2,6,Honda West,7,5,2,22,-7,-0.318182,66,59,2.681818,15,-6,44,38,6,3,15,5,5,0,6,10,-8,33,25,4,2,10,3,3,0,4,11,21,25,20,9,3,{'default': 'Arizona'},0.522727,23,0.363636,8,0.363636,8,7,-1,22,21,3,0,8,3,3,0,4,20202021,2,2,W,1,"{'default': 'Arizona Coyotes', 'fr': ""Coyotes de l'Arizona""}",{'default': 'Coyotes'},{'default': 'ARI'},https://assets.nhle.com/logos/nhl/svg/ARI_20202021-20232024_light.svg,0,13,0,0.454545,10,Coyotes
0,0,0,0,2021-03-04,WST,6,2,Honda West,5,6,2,21,3,0.142857,59,62,2.952381,9,3,25,28,3,3,9,3,3,0,3,10,10,21,31,2,2,14,5,5,0,6,26,7,16,21,8,4,{'default': 'Los Angeles'},0.52381,22,0.380952,8,0.380952,8,12,0,34,34,5,1,13,5,5,0,6,20202021,1,1,L,1,"{'default': 'Los Angeles Kings', 'fr': 'Kings de Los Angeles'}",{'default': 'Kings'},{'default': 'LAK'},https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,0,14,0,0.428571,9,Kings
0,0,0,0,2021-03-04,NTH,3,4,Scotia North,6,6,2,27,-14,-0.518519,91,77,2.851852,14,1,42,43,6,2,14,5,5,0,6,10,1,25,26,4,2,10,4,4,0,4,15,20,27,22,15,2,{'default': 'Vancouver'},0.407407,22,0.333333,9,0.333333,9,13,-15,49,34,9,0,8,4,4,0,4,20202021,0,1,W,1,"{'default': 'Vancouver Canucks', 'fr': 'Canucks de Vancouver'}",{'default': 'Canucks'},{'default': 'VAN'},https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,0,5,0,0.37037,10,Canucks
0,0,0,0,2021-03-04,EST,5,6,MassMutual East,6,6,2,21,4,0.190476,55,59,2.809524,13,-2,35,33,6,2,12,5,5,0,5,10,5,25,30,4,1,11,4,4,0,5,16,18,21,23,9,3,{'default': 'NY Rangers'},0.5,21,0.380952,8,0.333333,7,8,6,20,26,3,1,9,3,2,0,4,20202021,1,1,W,2,"{'default': 'New York Rangers', 'fr': 'Rangers de New York'}",{'default': 'Rangers'},{'default': 'NYR'},https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,10,0,0.428571,9,Rangers
0,0,0,0,2021-03-04,CEN,6,5,Discover Central,7,6,2,23,-18,-0.782609,73,55,2.391304,13,-4,37,33,6,0,14,6,5,0,7,10,-3,27,24,5,0,10,5,5,0,5,14,19,29,24,13,0,{'default': 'Nashville'},0.434783,20,0.391304,9,0.304348,7,10,-14,36,22,7,0,6,3,2,0,3,20202021,0,1,L,2,"{'default': 'Nashville Predators', 'fr': 'Predators de Nashville'}",{'default': 'Predators'},{'default': 'NSH'},https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,7,0,0.434783,10,Predators
0,0,0,0,2021-03-04,WST,8,7,Honda West,4,7,2,20,-18,-0.9,77,59,2.95,6,-6,24,18,4,0,4,2,2,0,2,10,-9,40,31,5,1,9,3,3,0,4,31,24,13,25,10,2,{'default': 'San Jose'},0.45,18,0.2,4,0.2,4,14,-12,53,41,6,2,14,2,2,0,6,20202021,1,4,L,1,"{'default': 'San Jose Sharks', 'fr': 'Sharks de San Jose'}",{'default': 'Sharks'},{'default': 'SJS'},https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,0,9,0,0.4,8,Sharks
0,0,0,0,2021-03-04,WST,7,8,Honda West,8,8,2,23,-21,-0.913043,69,48,2.086957,13,-16,42,26,7,3,9,2,2,0,3,10,-12,35,23,7,2,4,1,1,0,1,28,31,26,26,12,5,{'default': 'Anaheim'},0.369565,17,0.217391,5,0.217391,5,10,-5,27,22,5,2,8,3,3,0,3,20202021,2,1,L,2,"{'default': 'Anaheim Ducks', 'fr': ""Ducks d'Anaheim""}",{'default': 'Ducks'},{'default': 'ANA'},https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg,0,4,0,0.26087,6,Ducks
0,0,0,0,2021-03-04,CEN,8,7,Discover Central,6,7,2,26,-33,-1.269231,87,54,2.076923,12,-9,33,24,6,2,10,4,3,0,4,10,-15,36,21,6,1,7,3,3,0,3,25,27,28,27,16,3,{'default': 'Detroit'},0.326923,17,0.269231,7,0.230769,6,14,-24,54,30,10,1,7,3,3,0,3,20202021,0,0,L,3,"{'default': 'Detroit Red Wings', 'fr': 'Red Wings de Detroit'}",{'default': 'Red Wings'},{'default': 'DET'},https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,2,0,0.269231,7,Red Wings
0,0,0,0,2021-03-04,NTH,5,5,Scotia North,7,7,2,26,-32,-1.230769,102,70,2.692308,12,1,36,37,6,1,11,4,3,0,5,10,-2,38,36,5,0,10,4,2,0,5,20,22,30,28,17,1,{'default': 'Ottawa'},0.326923,17,0.269231,7,0.192308,5,14,-33,66,33,11,0,6,3,2,0,3,20202021,0,1,L,2,"{'default': 'Ottawa Senators', 'fr': ""Sénateurs d'Ottawa""}","{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'OTT'},https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,1,0,0.307692,8,Senators
0,0,0,0,2021-03-04,CEN,7,8,Discover Central,8,8,2,18,-2,-0.111111,50,48,2.666667,10,5,24,29,3,3,11,4,3,0,4,10,-13,29,16,6,3,5,1,1,0,1,19,30,31,29,8,4,{'default': 'Dallas'},0.444444,16,0.333333,6,0.277778,5,8,-7,26,19,5,1,5,2,2,0,2,20202021,2,0,L,4,"{'default': 'Dallas Stars', 'fr': 'Stars de Dallas'}",{'default': 'Stars'},{'default': 'DAL'},https://assets.nhle.com/logos/nhl/svg/DAL_20122013-20202021_light.svg,0,8,0,0.333333,6,Stars
0,0,0,0,2021-03-04,EST,8,7,MassMutual East,5,7,2,19,-13,-0.684211,60,47,2.473684,11,-16,35,19,8,1,5,2,1,0,2,10,-10,34,24,7,0,6,3,2,0,3,30,28,19,30,10,2,{'default': 'New Jersey'},0.421053,16,0.368421,7,0.263158,5,8,3,25,28,2,1,11,5,4,0,5,20202021,2,0,L,4,"{'default': 'New Jersey Devils', 'fr': 'Devils du New Jersey'}",{'default': 'Devils'},{'default': 'NJD'},https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,6,0,0.368421,7,Devils
0,0,0,0,2021-03-04,EST,7,8,MassMutual East,7,8,2,21,-17,-0.809524,65,48,2.285714,11,-16,37,21,7,2,6,1,1,0,2,10,-13,30,17,7,1,5,2,2,0,2,29,29,22,31,12,3,{'default': 'Buffalo'},0.357143,15,0.190476,4,0.190476,4,10,-1,28,27,5,1,9,3,3,0,4,20202021,1,2,L,4,"{'default': 'Buffalo Sabres', 'fr': 'Sabres de Buffalo'}",{'default': 'Sabres'},{'default': 'BUF'},https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,3,0,0.285714,6,Sabres
